Feature,61601,61602,61603,63896,63897,63899
高度(mm),1698,1698,1698,1698,1698,1698
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,
风阻系数(Cd),0.25,0.25,0.25,0.25,0.25,0.25
陡坡缓降,●,●,●,●,●,●
长度(mm),4955,4955,4955,4955,4955,4955
长*宽*高(mm),4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698,4955*1967*1698
钥匙类型,,,,,,
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,宝马iX 2023款 xDrive40,宝马iX 2023款 xDrive50,宝马iX 2023款 M60,宝马iX 2023款 改款 xDrive50,宝马iX 2023款 改款 M60,宝马iX 2023款 改款 xDrive40
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气悬架,-,●,●,-,●,-
离去角(°),21,21,21,21,21,21
百公里耗电量(kWh/100km),18,18,19.1,18,19.3,17.7
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),2.04,2.09,2.16,2.09,2.16,2.04
电池预加热,●,●,●,●,●,●
电池能量(kWh),76.6,111.5,111.5,111.5,111.5,76.6
电池类型,,,,,,
电池慢充时间(小时)_y,7.5,11,10.75,11,5.5,7.5
电池慢充时间(小时)_x,7.5,11,10.75,11,5.5,7.5
电池快充电量范围(%)_y,80,80,80,80,80,80
电池快充电量范围(%)_x,80,80,80,80,80,80
电池快充时间(小时)_y,0.68,0.82,0.82,0.82,0.82,0.68
电池快充时间(小时)_x,0.68,0.82,0.82,0.82,0.82,0.68
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,-,-,-,-,-,-
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),630,765,1100,765,1100,630
电动机总功率(kW),240,385,455,385,455,240
电动机总功率(Ps),326,524,619,524,619,326
电动机(Ps),326,524,619,524,619,326
电动座椅记忆功能,,,,,,
电动吸合车门,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,●,●,●,●,●,●
满载最小离地间隙(mm),180,180,180,180,180,180
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
最高车速(km/h),200,200,250,200,250,200
最小转弯半径(m),6.4,6.4,6.4,6.4,6.4,6.4
最大满载质量(kg),3010,3145,3160,3145,3160,3010
最大扭矩(N·m),630,765,1100,765,1100,630
