Feature,1013289,1013290,1013291,1013292,1013293,1013294,1013295,1013297,1013298,1013299,1013300,1013301,1013302,1013303,1013304,1013305,1013306,1013307,1013308,1013309,1013310,1013311,1015322,1015323,1016740,1016741,1016742,1016743,1016952,1017722,1017723,1017724,1017725,1017726,1017727,1017728,1017729,1017730,1017731,1017732,1017733,1017734,1017735,1017736,1017737,1017738,1017739,1017740,1017741,1017742,1017743,1017744,1017745
高度(mm),1980,1980,1980,1980,2240,2240,2240,1980,1980,1980,1980,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2280,1980,2240,1980,1980,2240,2240,1980,1980,1980,1980,1980,1980,2240,2240,1980,1980,1980,1980,2240,2240,2240,2240,2240,2240,2240,2240,2240,1980
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4840,4840,4840,4840,4840,4840,4840,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5320,5340,5340,5340,5340,4840,4840,4840,5340,5340,4860,4860,4860,4860,4860,4860,4860,4860,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,4860
长*宽*高(mm),4840×1695×1980,4840×1695×1980,4840×1695×1980,4840×1695×1980,4840×1695×2240,4840×1695×2240,4840×1695×2240,5320×1695×1980,5320×1695×1980,5320×1695×1980,5320×1695×1980,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5320×1695×2240,5340*1695*2240,5340*1695*2240,5340*1695*2280,5340*1695*1980,4840×1695×2240,4840×1695×1980,4840×1695×1980,5340*1695*2240,5340*1695*2240,4860*1695*1980,4860*1695*1980,4860*1695*1980,4860*1695*1980,4860*1695*1980,4860*1695*1980,4860*1695*2240,4860*1695*2240,5340*1695*1980,5340*1695*1980,5340*1695*1980,5340*1695*1980,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,5340*1695*2240,4860*1695*1980
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
