Feature,1013618,1013802,1013826,1013878,1013879,1013880,1013881,1013882,1013883,1016451,1016850,1016851,1016852,1016853,1016854,1016855,1016856,1016857,1016858,1016859,1016860,1016861,1016862,1016863,1016864,1018069,1018070,1018071,1018072,1018387,1018389,1018391,1018393,1018395,1018397,1018399,1018401,1018403,1018404,1018405,1018406
高度(mm),1830,1830,1830,1830,1830,1830,1830,1830,1830,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1830,1830,1965,1850,1850,1850,1850,1850,1850,1850,1850,1830,1830,1830,1830
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,,,,,,,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,-,,,,-,-,-,,-,,-,,-,,-,,-,-,,-,,-,,,,,,-,,-,,-,,-,,-,,-,
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
长度(mm),5295,5295,5295,5295,5295,5295,5295,5295,5295,5590,5265,5265,5265,5265,5265,5265,5265,5265,5590,5590,5590,5590,5590,5590,5590,5265,5295,5295,5295,5265,5265,5265,5265,5265,5265,5265,5265,5295,5295,5295,5295
长*宽*高(mm),5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830,5590*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5590*1870*1850,5590*1870*1850,5590*1870*1850,5590*1870*1850,5590*1870*1850,5590*1870*1850,5590*1870*1850,5265*1870*1850,5295×1860×1830,5295×1860×1830,5295*1860*1965,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5265*1870*1850,5295×1860×1830,5295×1860×1830,5295×1860×1830,5295×1860×1830
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3095,3095,3095,3095,3095,3095,3095,3095,3095,3380,3125,3125,3125,3125,3125,3125,3125,3125,3380,3380,3380,3380,3380,3380,3380,3125,3095,3095,3095,3125,3125,3125,3125,3125,3125,3125,3125,3095,3095,3095,3095
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
