Feature,66590,66694,66696,66697,67096,67097,67098,67099,67999,70717
高度(mm),1378,1409,1412,1379,1378,1381,1409,1378,1379,1381
高压快充,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
高压平台（V）,800,800,800,800,800,800,800,800,800,800
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,单电机,双电机
驱动方式,,,,,,,,,,
风阻系数(Cd),0.22,0.26,0.26,0.22,0.22,0.22,0.26,0.22,0.22,0.22
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,
长度(mm),4962,4974,4974,4963,4968,4962,4974,4968,4963,4963
长*宽*高(mm),4962*1966*1378,4974*1967*1409,4974*1967*1412,4963*1966*1379,4968*1998*1378,4962*1966*1381,4974*1967*1409,4968*1998*1378,4963*1966*1379,4963*1966*1381
钥匙类型,,,,,,,,,,
遥控泊车,○,○,○,○,-,○,○,-,○,○
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
运动风格座椅,●,○,●,●,●,●,○,●,●,●
辅助驾驶等级,,,,,,,,,,
辅助泊车入位,●,●,●,●,-,●,●,-,●,●
轴距(mm),2900,2904,2904,2900,2900,2900,2904,2900,2900,2900
轮圈材质,,,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●,●,●
车顶行李架,-,●,●,-,-,-,○,-,-,-
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,○,-,○,●,-,○,-,○,○
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,-,●,●
车身结构_y,三厢车,旅行跨界车,旅行跨界车,三厢车,三厢车,三厢车,旅行跨界车,三厢车,三厢车,三厢车
车身结构_x,4门4座三厢车,5门4座旅行跨界车,5门4座旅行跨界车,4门4座三厢车,4门4座三厢车,4门4座三厢车,5门4座旅行跨界车,4门2座三厢车,4门4座三厢车,4门4座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车库门遥控装置,○,○,○,○,○,○,○,○,○,○
车型名称,Taycan 2024款 Taycan Turbo S,Taycan 2024款 Taycan 4S Cross Turismo,Taycan 2024款 Taycan Turbo Cross Turismo,Taycan 2024款 Taycan 4,Taycan 2024款 Taycan Turbo GT,Taycan 2024款 Taycan Turbo,Taycan 2024款 Taycan 4 Cross Turismo,Taycan 2024款 Taycan Turbo GT with Weissach Package,Taycan 2024款 Taycan,Taycan 2024款 Taycan GTS
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,-,,
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,-,●,●
语音识别控制系统,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,
行李厢12V电源接口,-,●,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,
能量回收系统,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动,2挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,,-,,
空调温度控制方式,,,,,,,,,,
空气质量监测,●,●,●,●,●,●,●,-,●,●
空气悬架,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
电池预加热,●,●,●,●,●,●,●,●,●,●
电池能量(kWh),105,105,105,105,105,105,105,105,89,105
电池类型,,,,,,,,,,
电池慢充电量范围(%)_y,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
