Feature,1010273,1011505,1011507,1011514,1011515,1012059,1012061,1012065,1012938,1014006,1015529,1015890,1015916,1015917,1015918,1015919,1015920,1015921,1015922,1016001,1016002,1016076,1016077,1016078,1016079,1016080,1016081,1016082,1016084,1016085,1016086,1016087,1016088,1016089,1016090,1016091,1016092,1016093,1016094,1016095,1016238,1016245,1016246,1016247,1016248,1016249,1016250,1016251,1016254,1016255,1016865,1018483,1018484,1018485,1018486,1018487,1018966,1018967,1018968,1018969,1019209,1019210,1019211,1019212
高度(mm),2050,1940,1950,2050,2050,1893,1896,1893,1896,1902,1882,1886,1886,1886,1886,1886,1886,1886,1886,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1882,1933,1893,1893,1893,1893,1893,1893,1950,1893,1893,1902,1886,1882,1882,1882,1886,1882,1882,1882,1882,1893,1893,1886,1886
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,,,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,,,,,-,,,-,,,,,-,-,-,,,-,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,-,,,-,-,,-,,,,-
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5880,5488,4963,5880,5880,5437,5650,5437,5650,5513,5653,5416,5416,5416,5416,5416,5416,5416,5416,5653,5653,5413,5653,5413,5653,5413,5413,5653,5413,5653,5653,5413,5653,5653,5413,5653,5653,5413,5653,5653,5489,5444,5444,5444,5444,5444,5444,4963,5444,5444,5513,5416,5653,5653,5653,5416,5653,5653,5653,5653,5444,5444,5416,5416
长*宽*高(mm),5880×2150×2050,5488*2065*1940,4963×1975×1950,5880×2150×2050,5880×2150×2050,5437×1958×1893,5650×1934×1896,5437×1958×1893,5650×1934×1896,5513×2090×1902,5653*1883*1882,5416*1947*1886,5416*1947*1886,5416*1947*1886,5416*1947*1886,5416*1947*1886,5416*1947*1886,5416*1947*1886,5416*1947*1886,5653*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5413*1883*1882,5413*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5653*1883*1882,5413*1883*1882,5653*1883*1882,5653*1883*1882,5489*2084*1933,5444*1958*1893,5444*1958*1893,5444*1958*1893,5444*1958*1893,5444*1958*1893,5444*1958*1893,4963×1975×1950,5444*1958*1893,5444*1958*1893,5513×2090×1902,5416*1947*1886,5653*1883*1882,5653*1883*1882,5653*1883*1882,5416*1947*1886,5653*1883*1882,5653*1883*1882,5653*1883*1882,5653*1883*1882,5444*1958*1893,5444*1958*1893,5416*1947*1886,5416*1947*1886
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,●,-,-,-,-,●,●,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-
