Feature,59997,59998,60289,60290,60291,61245,61703,63371,63755,67186,68825,68826,68827,69033,69034
高度(mm),2050,2050,2050,2050,2050,1995,2050,2050,2050,2050,2050,2050,1995,1995,1995
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5420,5420,5450,5450,5450,5420,5420,5420,5420,5420,5420,5420,5420,5420,5420
长*宽*高(mm),5420*1928*2050,5420*1928*2050,5450*1928*2050,5450*1928*2050,5450*1928*2050,5420*1928*1995,5420*1928*2050,5420*1928*2050,5420*1928*2050,5420*1928*2050,5420*1928*2050,5420*1928*2050,5420*1928*1995,5420*1928*1995,5420*1928*1995
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,-,-,-,-,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,-,-,-,-,,
辅助驾驶等级,,,,,,,,,,,,,,,
轴距(mm),3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-
车载电视,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车载冰箱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载CD/DVD,,,,,,,,,,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●
车窗一键升降功能,,,,,,,,,,-,-,-,-,,
车型名称,金冠V级 2022款 2.0T 雅贺,金冠V级 2022款 2.0T 雅风,金冠V级 2022款 2.0T 金尊（无隔）,金冠V级 2022款 2.0T 金尊（半隔）,金冠V级 2022款 2.0T 巴赫,金冠V级 2022款 2.0T 云逸,金冠V级 2023款 2.0T 雲镛,金冠V级 2023款 2.0T 风云,金冠V级 2023款 2.0T 风度,金冠V级 2024款 2.0T 雲逸龙焰,金冠V级 2024款 2.0T 金尊 爱马仕橙+玛奇朵米,金冠V级 2024款 2.0T 金尊 卡其米+游艇蓝,金冠V级 2024款 2.0T 雲逸,金冠V级 2024款 2.0T 雲河,金冠V级 2024款 2.0T 风雲纶巾
车前雾灯,,,,,,,,,,-,-,-,-,,
车内环境氛围灯,,,,,,,,,,-,-,-,-,,
车内化妆镜,,,,,,,,,,-,-,-,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,-,-,-,-,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
