Feature,71292,71392,71393,71435,72209,72523
高度(mm),1505,1505,1505,1505,1505,1505
高压快充,-,支持,支持,-,-,支持
高压平台（V）,-,1000,1000,-,-,1000
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,双电机,双电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
面部识别,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-
长度(mm),5050,5050,5050,5050,5050,5050
长*宽*高(mm),5050*1960*1505,5050*1960*1505,5050*1960*1505,5050*1960*1505,5050*1960*1505,5050*1960*1505
钥匙类型,,,,,,
配气机构,DOHC,-,-,DOHC,DOHC,-
遥控泊车,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,涡轮增压,-,-,涡轮增压,涡轮增压,-
近光灯光源,,,,,,
辅助驾驶路段,,,,,,
辅助驾驶芯片,,,,,,
辅助驾驶系统,,,,,,
辅助驾驶等级,,,,,,
辅助泊车入位,●,●,●,●,●,●
辅助变道,●,●,●,●,●,●
辅助匝道自动驶出(入),●,●,●,●,●,●
轴距(mm),2970,2970,2970,2970,2970,2970
轮圈材质,,,,,,
转向辅助灯,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,-,-,●,●,-,-
车载智能系统,,,,,,
车载冰箱,●,●,●,●,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机系统存储(GB),,,,,,
车机系统内存(GB),,,,,,
车机智能芯片,,,,,,
车型名称,汉L 2025款 DM-i 200KM激光雷达旗舰型,汉L 2025款 EV 701KM激光雷达旗舰型,汉L 2025款 EV 四驱激光雷达旗舰型,汉L 2025款 DM-p 四驱激光雷达旗舰型,汉L 2025款 DM-i 200KM激光雷达尊享型,汉L 2025款 EV 701KM激光雷达尊享型
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●
车内生物监测系统,●,●,●,●,●,●
车内环境氛围灯,,,,,,
车内摄像头数量,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,-,-,●,●,-,-
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
