Feature,1019406,1019407,1019408,1019409,1019410,1019411,1019412,1019414,1019415,1019416,1020452
高度(mm),2475,2630,2060,2060,2540,2540,2595,2075,2075,2475,2760
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5975,5975,5875,5975,5875,5975,5975,5875,5975,5875,5975
长*宽*高(mm),5975*1850*2475,5975*1850*2630,5875*1850*2060,5975*1850*2060,5875*1850*2540,5975*1850*2540,5975*1850*2595,5875*1850*2075,5975*1850*2075,5875*1850*2475,5975*1850*2760
钥匙类型,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
轴距(mm),3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,鑫源T5L EV 2024款 城际版 3.8米货厢仓栅车70.47kWh,鑫源T5L EV 2024款 城际版 3.8米厢式货车标准型70.47kWh,鑫源T5L EV 2024款 城市版 3.7米货厢栏板车标准型55.7kWh,鑫源T5L EV 2024款 城市版 3.8米货厢栏板车标准型55.7kWh,鑫源T5L EV 2024款 城市版 3.7米货厢仓栅车标准型55.7kWh,鑫源T5L EV 2024款 城市版 3.8米货厢仓栅车标准型55.7kWh,鑫源T5L EV 2024款 城市版 厢式货车标准型55.7kWh,鑫源T5L EV 2024款 城际版 3.7米货厢栏板车70.47kWh,鑫源T5L EV 2024款 城际版 3.8米货厢栏板车70.47kWh,鑫源T5L EV 2024款 城际版 3.7米货厢仓栅车70.47kWh,鑫源T5L EV 2025款 宁德300KM 标准型冷藏车
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,-,-,-,-
货箱尺寸(mm),3800x1760x370,3770x1775x1700,3700x1760x370,3800x1760x370,3700x1760x370,3800x1760x370,3770x1775x1700,3700x1760x370,3800x1760x370,3700x1760x370,3710x1690x1700
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
