Feature,61614,65577,65949,66264
高度(mm),1487,1487,1487,1487
驾驶辅助影像,,,,-
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
陡坡缓降,●,●,●,●
长度(mm),4780,4780,4780,4780
长*宽*高(mm),4780*1843*1487,4780*1843*1487,4780*1843*1487,4780*1843*1487
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●
道路交通标识识别,-,-,●,-
透明底盘/540度影像,●,-,●,-
远程启动功能,,,,
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
辅助驾驶等级,-,-,,-
轴距(mm),2790,2790,2790,2790
轮圈材质,,,,
车门数(个),4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-
车道偏离预警系统,-,-,●,-
车道保持辅助系统,-,-,●,-
车载空气净化器,-,-,●,-
车载KTV,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,-
车窗一键升降功能,,,,-
车机智能芯片,,-,,-
车型名称,风云A8 2024款 127 乘风版,风云A8 2024款 127 逐风版,风云A8 2024款 127 驭风版,风云A8 2024款 127 凌风版
车前雾灯,-,-,-,-
车内香氛装置,○,○,○,-
车内环境氛围灯,-,-,,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
负离子发生器,-,-,●,-
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,●,-
自动驻车,●,●,●,●
自动头灯,●,●,●,-
膝部气囊,-,-,●,-
能量回收系统,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合扭矩(N·m),530,530,530,530
系统综合功率(kW),265,265,265,265
系统综合功率(Ps),360,360,360,360
简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),17,17,17,17
百公里耗电量(kWh/100km),14.2,14.2,14.2,14.2
疲劳驾驶提示,-,-,-,-
电芯品牌,弗迪,弗迪,弗迪,弗迪
电能当量燃料消耗量(L/100km),1.61,1.61,1.61,1.61
电池能量(kWh),18.3,18.3,18.3,18.3
电池组质保,-,-,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总扭矩(N·m),310,310,310,310
电动机总功率(kW),150,150,150,150
电动机总功率(Ps),204,204,204,204
电动机(Ps),204,204,204,204
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,●,●,●,-
液晶仪表尺寸,,,,
油箱容积(L),60,60,60,60
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),185,185,185,185
最大马力(Ps),156,156,156,156
最大满载质量(kg),2085,2085,2085,2085
最大扭矩转速(rpm),2500,2500,2500,2500
最大扭矩(N·m)_y,220,220,220,220
最大扭矩(N·m)_x,530,530,530,530
最大功率转速(rpm),5200,5200,5200,5200
最大功率(kW)_y,115,115,115,115
最大功率(kW)_x,265,265,265,265
最大净功率(kW),105,105,105,105
最低荷电状态油耗(L/100km),4.2,4.2,4.2,4.2
无钥匙进入功能,,,,
