Feature,57877,57878,57879,61570,61571,61572,63029,63603,63604,63605,63606,66078
高度(mm),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,单电机,-,-,-,-,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293
面部识别,-,●,●,-,-,-,●,-,●,●,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935,4935
长*宽*高(mm),4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500,4935*1875*1500
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,-,●,●,●,●,●,●,-,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动外观套件,-,-,●,-,-,-,●,-,-,●,-,-
辅助驾驶系统,,,,-,,,,,,,-,
辅助驾驶等级,-,,,-,,,,,,,-,
轴距(mm),2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,-,●,●,●,-,●,●,-,●
车道偏离预警系统,●,●,●,-,●,●,●,●,●,●,-,●
车道保持辅助系统,●,●,●,-,●,●,●,●,●,●,-,●
车载空气净化器,-,●,●,-,-,-,●,-,-,-,-,-
车载智能系统,,,,,,,,,,,,
车载KTV,●,●,-,-,●,●,-,●,●,-,-,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车型名称,蒙迪欧 2022款 改款 EcoBoost 245 豪华型,蒙迪欧 2022款 改款 EcoBoost 245 至尊型,蒙迪欧 2022款 改款 EcoBoost 245 ST-Line,蒙迪欧 2023款 EcoBoost 180 舒雅型,蒙迪欧 2023款 EcoBoost 180 豪华型,蒙迪欧 2023款 EcoBoost 180 至尊型,蒙迪欧 2023款 1.5T E-混动 ST-Line,蒙迪欧 2023款 EcoBoost 245 豪华型,蒙迪欧 2023款 EcoBoost 245 至尊型,蒙迪欧 2023款 EcoBoost 245 ST-Line,蒙迪欧 2023款 EcoBoost 180 时尚型,蒙迪欧 2023款 1.5T E-混动 豪华型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,-,-,,,-,,,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
起步提醒,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●,●,●,●,●,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,○,-,-,-,○,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,-,●,●,●,●,●,●,-,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,油电混合
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,油电混合
胎压监测功能,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
系统综合功率(kW),-,-,-,-,-,-,153,-,-,-,-,153
系统综合功率(Ps),-,-,-,-,-,-,208,-,-,-,-,208
简称,8挡自动,8挡自动,8挡手自一体,8挡自动,8挡自动,8挡自动,E-CVT无级变速,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
离去角(°),21,21,21,21,21,21,21,21,21,21,21,21
疲劳驾驶提示,●,●,●,-,●,●,●,●,●,●,-,●
电芯品牌,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,,-,-,-,-,
电机类型,-,-,-,-,-,-,永磁/同步,-,-,-,-,永磁/同步
电机布局,-,-,-,-,-,-,前置,-,-,-,-,前置
电动机总扭矩(N·m),-,-,-,-,-,-,235,-,-,-,-,235
电动机总功率(kW),-,-,-,-,-,-,96,-,-,-,-,96
电动机总功率(Ps),-,-,-,-,-,-,131,-,-,-,-,131
电动机(Ps),-,-,-,-,-,-,131,-,-,-,-,131
电动座椅记忆功能,-,,,-,-,,,-,,,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
