Feature,62487,63470,63471,63472,63484,63485,64148,64149,66558,66559,66560,66561,66562,66563
高度(mm),1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
驱动方式,,,,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,,,,
风阻系数(Cd),0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271
面部识别,●,-,-,●,-,●,●,●,-,-,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4788,4788,4788,4788,4788,4788,4788,4788,4788,4788,4788,4788,4788,4788
长*宽*高(mm),4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683,4788*1940*1683
钥匙类型,,,,,,,,,,,,,,
遥控泊车,●,-,-,-,-,-,-,-,-,-,-,-,-,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,-,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,-,-,●,-,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,
辅助驾驶系统,,-,,,,,,,,,,,,
辅助驾驶等级,,-,,,,,,,,,,,,
轴距(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
轮圈材质,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,
车载KTV,-,-,-,-,-,-,-,-,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车型名称,极狐 阿尔法T(ARCFOX αT) 2023款 600D 森林版 320kW,极狐 阿尔法T(ARCFOX αT) 2023款 480 森林版 175kW,极狐 阿尔法T(ARCFOX αT) 2023款 480E 森林版 175kW,极狐 阿尔法T(ARCFOX αT) 2023款 688E+ 森林版 175kW,极狐 阿尔法T(ARCFOX αT) 2023款 480E 森林版 160kW,极狐 阿尔法T(ARCFOX αT) 2023款 688E+ 森林版 160kW,极狐 阿尔法T(ARCFOX αT) 2023款 688E 森林版 175kW,极狐 阿尔法T(ARCFOX αT) 2023款 688E 森林版 160kW,极狐 阿尔法T(ARCFOX αT) 2024款 480E 森林版PRO 175kW,极狐 阿尔法T(ARCFOX αT) 2024款 480E 森林版PRO 160kW,极狐 阿尔法T(ARCFOX αT) 2024款 618E 森林版PRO 175kW,极狐 阿尔法T(ARCFOX αT) 2024款 688E+ 森林版PRO 175kW,极狐 阿尔法T(ARCFOX αT) 2024款 688E+ 森林版PRO 160kW,极狐 阿尔法T(ARCFOX αT) 2024款 600D 森林版PRO 320kW
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,,,,,,,,,,
车内摄像头数量,-,-,-,-,-,-,-,-,,,,,,
车内化妆镜,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,
负离子发生器,●,-,●,●,●,●,●,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,●,-,●,●,●,-,-,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,-,-,-,-,-,-,-,-,-,-,-,-,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,-,-,,-,,,,-,-,,,,
空调温度控制方式,,,,,,,,,,,,,,
离去角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19
百公里耗电量(kWh/100km),17.3,16.5,16,-,-,16,16,-,16,16,15.6,16,16,17.3
疲劳驾驶提示,●,-,-,●,-,●,●,●,-,-,●,●,●,●
电芯品牌,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),1.96,1.87,1.81,-,-,1.81,1.81,-,1.81,1.81,1.76,1.81,1.81,1.96
电池能量密度(Wh/kg),191.72,143.7,183,-,-,185,185,-,183,183,185,185,185,191.72
电池能量(kWh),93.6,68.1,65.6,-,-,94.5,94.5,-,65.6,65.6,81,94.5,94.5,93.6
电池类型,,,,,,,,,,,,,,
电池特有技术,-,-,-,-,-,-,-,-,极光电池,极光电池,极光电池,极光电池,极光电池,极光电池
电池慢充电量范围(%)_y,-,-,-,-,-,-,-,-,0-100,0-100,0-100,0-100,0-100,0-100
电池慢充电量范围(%)_x,-,-,-,-,-,-,-,-,0-100,0-100,0-100,0-100,0-100,0-100
电池慢充时间(小时)_y,7.6,5.7,5.7,15.5,11.5,7.6,7.6,15.5,11.4,11.4,14,15.2,15.2,15.2
电池慢充时间(小时)_x,7.6,5.7,5.7,15.5,11.5,7.6,7.6,15.5,11.4,11.4,14,15.2,15.2,15.2
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80,30-80,30-80,30-80,30-80,30-80,30-80
