Feature,56440,56441,56646,56647,59192,59218,59917,60114,60119,61386,61387,61388,61389,63618,63619,63620,63621,63622,63623,63625,63626,63627
高度(mm),1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4549,4549,4549,4549,4530,4530,4549,4600,4530,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549
长*宽*高(mm),4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4530*1860*1628,4530*1860*1628,4549*1860*1628,4600*1860*1628,4530*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628,4549*1860*1628
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
遥控泊车,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
道路救援呼叫,-,●,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,●,●
道路交通标识识别,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
透明底盘/540度影像,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
远程启动功能,,,,,,,,,,-,-,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶芯片,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,-,,
辅助驾驶等级,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,-,,
轴距(mm),2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,●,-,●,-,-,●,-,-,-,-,●,●,-,-,●,●,●,●,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
车道偏离预警系统,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
车道保持辅助系统,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
车载空气净化器,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,-,-,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,,,-,,
车型名称,哪吒U 2022款 智400 三元锂,哪吒U 2022款 智400 Pro 三元锂,哪吒U 2022款 智400 磷酸铁锂,哪吒U 2022款 智400 Pro 磷酸铁锂,哪吒U 2022款 Pro 420 换电版,哪吒U 2022款 改款 Pro 400 畅行网约版 三元锂,哪吒U 2022款 哪吒U-Ⅱ 610 三元锂,哪吒U 2022款 Pro 400 畅行网约版L,哪吒U 2022款 改款 Pro 400 畅行网约版 磷酸铁锂,2022款 哪吒U-Ⅱ 400 行业版,2022款 哪吒U-Ⅱ 500 行业版,2022款 哪吒U-Ⅱ 400 尊享版,2022款 哪吒U-Ⅱ 500 尊享版,2023款 哪吒U-Ⅱ 挑战版 400 U秀 三元锂,2023款 哪吒U-Ⅱ 挑战版 400 U秀 磷酸铁锂,2023款 哪吒U-Ⅱ 挑战版 400 Lite 三元锂,2023款 哪吒U-Ⅱ 挑战版 400 Lite 磷酸铁锂,2023款 哪吒U-Ⅱ 挑战版 400 三元锂,2023款 哪吒U-Ⅱ 挑战版 400 磷酸铁锂,2023款 哪吒U-Ⅱ 挑战版 500 U秀 磷酸铁锂,2023款 哪吒U-Ⅱ 挑战版 500 三元锂,2023款 哪吒U-Ⅱ 挑战版 500 磷酸铁锂
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内生物监测系统,-,-,-,-,-,●,●,●,●,-,-,-,●,-,-,-,-,●,●,-,●,●
车内环境氛围灯,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,,-,-,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,-,,,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
自动头灯,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,●,●,-,●,●
自动变道辅助,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
能量回收系统,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
离去角(°),28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
百公里耗电量(kWh/100km),14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,-,-,14.5,14.5,14.5,14.5,-,14.5,14.5
疲劳驾驶提示,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,捷威,捷威,宁德时代,宁德时代,华鼎国联,宁德时代/捷威,湖北亿纬/时代上汽,捷威,宁德时代,捷威,宁德时代/蜂巢能源,捷威,华鼎国联,-,-,捷威,宁德时代/惠州亿纬,捷威,宁德时代/惠州亿纬,-,华鼎国联,宁德时代/蜂巢能源
电能当量燃料消耗量(L/100km),1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,-,-,1.64,1.64,1.64,1.64,-,1.64,1.64
电池预加热,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),160,160,140,140,166,160,180,160,140,160,143,160,176,-,-,160,140,160,140,-,176,142
电池能量(kWh),54.34,54.34,55.8,55.8,62.29,54.34,81.57,54.34,55.8,54.34,68.2,54.34,70.41,-,-,54.34,55.8,54.34,55.8,-,70.41,68.2
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,五年或50万公里,五年或50万公里,首任车主不限年限/里程（责任免除条款以官方为准）,五年或50万公里,五年或50万公里,五年或50万公里,五年或50万公里,八年或15万公里,八年或15万公里,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池
电池冷却方式,-,-,-,-,-,-,液冷,液冷,液冷,-,-,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),210,210,210,210,210,210,310,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
电动机总功率(kW),120,120,120,120,120,120,170,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
电动机总功率(Ps),163,163,163,163,163,163,231,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
电动机(Ps),163,163,163,163,163,163,231,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
电动座椅记忆功能,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,●,●,-,●,●
电动后备厢,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,●,●,-,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,
毫米波雷达数量,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,-,,
最高车速(km/h),150,150,150,150,150,150,155,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
