Feature,67902,68306,68307,70147,70148,70149,70150
高度(mm),1485,1485,1485,1485,1485,1485,1485
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
面部识别,●,●,-,-,●,●,●
零重力座椅,,-,-,-,-,,-
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4921,4921,4921,4921,4921,4921,4921
长*宽*高(mm),4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485,4921*1890*1485
钥匙类型,,,,,,,
配气机构,-,-,DOHC,DOHC,DOHC,DOHC,-
遥控泊车,●,●,-,-,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,-,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,-,-,自然吸气,自然吸气,自然吸气,自然吸气,-
近光灯光源,,,,,,,
运动风格座椅,●,●,●,●,●,●,●
辅助驾驶等级,,,-,-,,,
辅助泊车入位,●,●,-,-,●,●,●
辅助变道,●,●,-,-,●,●,●
轴距(mm),2895,2895,2895,2895,2895,2895,2895
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,●,●
车道偏离预警系统,●,●,-,-,●,●,●
车道保持辅助系统,●,●,-,-,●,●,●
车载空气净化器,●,-,-,-,●,●,●
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车型名称,马自达EZ-6 2024款 纯电600智尊版,马自达EZ-6 2024款 纯电480智悦版,马自达EZ-6 2024款 增程130,马自达EZ-6 2024款 增程200,马自达EZ-6 2024款 增程200智雅版,马自达EZ-6 2024款 增程200智尊版,马自达EZ-6 2024款 纯电600智雅版
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,,,
车内摄像头数量,,,-,-,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
起步提醒,●,●,-,-,●,●,●
负离子发生器,●,-,-,-,●,●,●
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,-,-,●,●,●
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动
能源类型_x,纯电动,纯电动,增程式,增程式,增程式,增程式,纯电动
胎压监测功能,,,,,,,
缸盖材料,-,-,铝合金,铝合金,铝合金,铝合金,-
缸体材料,-,-,铝合金,铝合金,铝合金,铝合金,-
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
空气质量监测,●,-,-,-,●,●,●
离去角(°),20,20,20,20,20,20,20
百公里耗电量(kWh/100km),13.4,13.2,14.7,15.9,15.9,15.9,13.4
疲劳驾驶提示,●,●,-,-,●,●,●
电芯品牌,,,,,,,
电能当量燃料消耗量(L/100km),1.56,1.53,-,-,-,-,1.56
电池预加热,●,●,●,●,●,●,●
电池能量(kWh),68.8,56.1,18.9,28.4,28.4,28.4,68.8
电池类型,,,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.25,0.25,0.33,0.33,0.33,0.33,0.25
电池快充时间(小时)_x,0.25,0.25,0.33,0.33,0.33,0.33,0.25
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),258,258,218,218,218,218,258
电动机总扭矩(N·m),320,320,320,320,320,320,320
电动机总功率(kW),190,190,160,160,160,160,190
电动机(Ps),258,258,218,218,218,218,258
电动扰流板,●,-,-,-,○,●,○
电动座椅记忆功能,,-,-,-,,,
电动后备厢位置记忆,●,-,-,-,●,●,●
电动后备厢,●,-,-,-,●,●,●
环视摄像头像素,,,,,,,
环保标准_y,-,-,国VI,国VI,国VI,国VI,-
环保标准_x,-,-,国VI,国VI,国VI,国VI,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,-,-,92号,92号,92号,92号,-
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),-,-,45,45,45,45,-
油电综合燃料消耗量(L/100km),-,-,3,2.63,2.63,2.63,-
气缸数(个),-,-,4,4,4,4,-
气缸排列形式,-,-,L,L,L,L,-
毫米波雷达数量,,,-,-,,,
每缸气门数(个),-,-,4,4,4,4,-
模拟声浪,●,●,●,●,●,●,●
最高车速(km/h),170,170,170,170,170,170,170
最大马力(Ps),258,258,95,95,95,95,258
最大满载质量(kg),2387,2280,2203,2286,2286,2286,2387
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m)_y,320,320,-,-,-,-,320
最大扭矩(N·m)_x,320,320,320,320,320,320,320
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW)_y,190,190,70,70,70,70,190
最大功率(kW)_x,190,190,160,160,160,160,190
最大净功率(kW),-,-,66,66,66,66,-
