Feature,1014168,1014777,1014778,1015955,1016989,1017910,1018102,1018103,1018104,1018105
高度(mm),1830,1830,1830,1830,1865,1880,1880,1880,1865,1865
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机,单电机,单电机
驱动方式,,,,,,,,,,
风阻系数(Cd),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
陡坡缓降,●,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,●,●,●,●,●
长度(mm),5260,5260,5260,5260,5260,5260,5260,5260,5260,5260
长*宽*高(mm),5260*1900*1830,5260*1900*1830,5260*1900*1830,5260*1900*1830,5260*1900*1865,5260*1900*1880,5260*1900*1880,5260*1900*1880,5260*1900*1865,5260*1900*1865
钥匙类型,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,●,●,●,●,●
道路交通标识识别,●,-,●,-,-,●,-,-,-,-
透明底盘/540度影像,●,-,●,-,-,●,-,-,-,-
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
辅助驾驶等级,,-,,-,-,,-,-,-,-
轴距(mm),3120,3120,3120,3120,3120,3120,3120,3120,3120,3120
轮圈材质,,,,,,,,,,
转向头灯,●,-,●,-,-,●,-,-,-,-
车顶行李架,●,-,●,-,-,●,-,-,-,-
车门数(个),,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,●,-,●,-,-,●,-,-,-,-
车道保持辅助系统,●,-,●,-,-,●,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,●,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,-,-,●,●,●,●,●
车窗一键升降功能,,,,-,-,,,,,
车型名称,雷达RD6 2023款 632km 悦野版,雷达RD6 2023款 550km 创客版,雷达RD6 2023款 550km 悦享版,雷达RD6 2023款 410km 创业版,雷达RD6 2023款 410km 科创版,2024款 地平线 460km 四驱Max版,2024款 地平线 460km 四驱Air版,2024款 地平线 520km 四驱Air版,雷达RD6 2024款 415km 两驱科创版,雷达RD6 2024款 560km 两驱科创版
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,,-,,-,-,,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540,1525x1450x540
语音识别控制系统,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,,,,,
