Feature,1015247,1015249,1015251,1015253,1015834,1017157,1017862,1017863,1017864,1017865,1017866,1017867,1017868,1017869,1017870,1017871,1017872,1017873,1017874
高度(mm),2360,2360,2360,2360,2720,2440,2440,2440,2425,2425,2425,2720,2425,2425,2425,2465,2755,2465,2755
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5998,5998,5998,5998,5998,5230,5498,5498,5498,5498,5998,5998,5498,5498,5998,5998,5998,5998,5998
长*宽*高(mm),5998*2098*2360,5998*2098*2360,5998*2098*2360,5998*2098*2360,5998*2068*2720,5230*2068*2440,5498*2068*2440,5498*2068*2440,5498*2068*2425,5498*2068*2425,5998*2068*2425,5998*2068*2720,5498*2068*2425,5498*2068*2425,5998*2068*2425,5998*2068*2465,5998*2068*2755,5998*2068*2465,5998*2068*2755
钥匙类型,,,,,,,,,,,,,,,,,,,
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,
轴距(mm),3750,3750,3750,3750,3750,3000,3300,3300,3300,3300,3750,3750,3300,3300,3750,3750,3750,3750,3750
轮圈材质,,,,,,,,,,,,,,,,,,,
车门数(个),-,-,-,-,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,货车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车
车身结构_x,客车,货车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,○,-,-,-,○,○,○,○,○,○,○,-,-,-,-
车窗防夹手功能,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,E全顺 2023款 中顶客车10-15座 85.9kwh,E全顺 2023款 中顶厢式货车3座 85.9kwh,E全顺 2023款 中顶客车10-15座 60.16kwh,E全顺 2023款 中顶厢式货车3座 60.16kwh ,E全顺 2024款 客车精英款 长轴高顶 14-15座 100.96kWh,E全顺 2024款 多用途乘用车 短轴中顶 6座 50.386kWh,E全顺 2024款 多用途乘用车 中轴中顶 6座 77.28kWh,E全顺 2024款 多用途乘用车 中轴中顶 6座 100.96kWh,E全顺 2024款 客车尊享款 中轴中顶 9座 77.28kWh,E全顺 2024款 客车尊享款 中轴中顶 9座 100.96kWh,E全顺 2024款 客车尊享款 长轴中顶 14-15座 100.96kWh,E全顺 2024款 客车尊享款 长轴高顶 14-15座 100.96kWh,E全顺 2024款 客车精英款 中轴中顶 9座 77.28kWh,E全顺 2024款 客车精英款 中轴中顶 9座 100.96kWh,E全顺 2024款 客车精英款 长轴中顶 14-15座 100.96kWh,E全顺 2024款 厢式运输车 长轴中顶 3座 77.28kWh,E全顺 2024款 厢式运输车 长轴高顶 3座 77.28kWh,E全顺 2024款 厢式运输车 长轴中顶 3座 100.96kWh,E全顺 2024款 厢式运输车 长轴高顶 3座 100.96kWh
车前雾灯,,,,,,,,,,,,,,,,,,,
