Feature,63589,63590,63591,63592,63593,63594,63595,63596,63597,66215,66216,66217,66218,66219,66654,66655,68013,68014,68015,68164,68165,68655,68710,68711,68884,68885,69653,69654,69655,69656,69657,69658,69659,69660
高精地图,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
高度(mm),1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●,-,-,●,-,-,●,●,-,-,-,-,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
长*宽*高(mm),5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1848,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840,5270*2000*1840
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-
遥控泊车,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
道路救援呼叫,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,●,●,●,●,●
远程启动功能,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶芯片,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
辅助驾驶系统,,-,-,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
辅助驾驶等级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车机智能芯片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
