Feature,66980,66981,66982,66983,66984,70348,71500,71762,71763
高精地图,-,-,-,-,○,-,-,-,-
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,●,●,●,●
长度(mm),4700,4700,4700,4700,4700,4710,4710,4710,4710
长*宽*高(mm),4700*1905*1685,4700*1905*1685,4700*1905*1685,4700*1905*1685,4700*1905*1685,4710*1905*1685,4710*1905*1685,4710*1905*1685,4710*1905*1685
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,●,-,-,-,-
道路救援呼叫,●,●,●,●,●,-,-,-,-
道路交通标识识别,●,●,●,●,●,●,●,-,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯光源,,,,,,,,,
辅助驾驶路段,-,-,-,-,,-,-,-,-
辅助驾驶等级,,,,,,,,-,
辅助泊车入位,-,-,-,-,●,-,-,-,-
辅助变道,-,-,-,-,○,-,-,-,-
辅助匝道自动驶出(入),-,-,-,-,○,-,-,-,-
轴距(mm),2785,2785,2785,2785,2785,2785,2785,2785,2785
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,-,●
车道偏离预警系统,●,●,●,●,●,●,●,-,●
车道保持辅助系统,●,●,●,●,●,●,●,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机系统存储(GB),,,,,,,,,
车机系统内存(GB),-,-,-,-,-,,,,
车机智能芯片,,,,,,,,,
