Feature,56069,56588,56744,64154,65300
高度(mm),1545,1545,1545,1545,1545
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-
隐藏电动门把手,○,○,○,○,○
陡坡缓降,-,-,-,-,-
长度(mm),3270,3270,3270,3270,3270
长*宽*高(mm),3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545,3270*1700*1545
钥匙类型,,,,,
远程启动功能,-,-,-,,
远光灯光源,,,,,
近光灯光源,,,,,
轴距(mm),1980,1980,1980,1980,1980
轮圈材质,,,,,
车门数(个),3,3,3,3,3
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车联网,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-
车型名称,长安Lumin 2022款 210km 香甜款,长安Lumin 2022款 155km 清甜款,长安Lumin 2022款 301km 蜜甜款,长安Lumin 2023款 205km 香沁款,长安Lumin 2023款 301km 蜜沁款
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车
