Feature,60899,60908,60909,60910,60911,66290,66291,66292,66293,68244,68245,68246,68247,68248,68843
高度(mm),1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4738,4738,4738,4738,4738,4736,4736,4736,4736,4736,4736,4736,4736,4736,4736
长*宽*高(mm),4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708,4736*1968*1708
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,○,○,●,●,-,-,●,●,-,-,-,-,-,-
透明底盘/540度影像,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,-,-,,,-,-,-,,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,-,-,-,-,-,○,○,○,-,○
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●
车道偏离预警系统,●,●,●,●,●,-,-,-,●,-,-,-,●,●,●
车道保持辅助系统,●,○,○,●,●,-,-,●,●,-,-,-,●,●,●
车载空气净化器,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV,5门5/7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,凯翼昆仑新能源 2024款 昆仑iHD 260km增强版,凯翼昆仑新能源 2024款 昆仑iHD 110km版,凯翼昆仑新能源 2024款 昆仑iHD 180km版,凯翼昆仑新能源 2024款 昆仑iHD 260km版,凯翼昆仑新能源 2024款 昆仑iHD 110km行政版,凯翼昆仑新能源 2024款 昆仑iHD 120km山峰行政版,凯翼昆仑新能源 2024款 昆仑iHD 120km天际行政版,凯翼昆仑新能源 2024款 昆仑iHD 120km星空行政版,凯翼昆仑新能源 2024款 昆仑iHD 120km银河行政版,凯翼昆仑新能源 2024款 昆仑iHD 80km高原版,凯翼昆仑新能源 2024款 昆仑iHD 150km山峰版,凯翼昆仑新能源 2024款 昆仑iHD 150km天际版,凯翼昆仑新能源 2024款 昆仑iHD 150km星空版,凯翼昆仑新能源 2024款 昆仑iHD 150km行政版,凯翼昆仑新能源 2024款 昆仑iHD 150km银河版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内生物监测系统,●,-,-,●,-,-,-,-,●,-,-,-,-,-,●
车内环境氛围灯,,,,,,,,,,-,-,,,,
车内化妆镜,,,,,,,,,,,,,,,
