Feature,1009982,1009983,1009984,1009985,1009988,1009989,1009990,1009991,1015246,1015419,1015430,1015431,1015432,1015571,1015601,1015602
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4498,4530,4498,4530,4498,4530,4498,4530,4498,4530,4530,4530,4530,4498,4498,4498
长*宽*高(mm),4498×1680×1990,4530×1715×1990,4498×1680×1990,4530×1715×1990,4498×1680×1990,4530×1715×1990,4498×1680×1990,4530×1715×1990,4498*1680*1990,4530*1715*1990,4530*1715*1990,4530*1715*1990,4530*1715*1990,4498*1680*1990,4498*1680*1990,4498*1680*1990
钥匙类型,,,,,,,,,,,-,,,,-,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,货车,客车,货车,客车,货车,客车,货车,客车,货车,货车,货车,货车,客车,客车,客车
车身结构_x,客车,货车,客车,货车,客车,货车,客车,货车,客车,货车,货车,货车,货车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安睿行M60 2020款 1.5L基本型国VI 7座DAM15KR,长安睿行M60 2020款 1.5L基本型国VI 厢货2座DAM15KR,长安睿行M60 2020款 1.5L标准型国VI 6座DAM15KR,长安睿行M60 2020款 1.5L标准型国VI 厢货5座DAM15KR,长安睿行M60 2020款 1.6L标准型国VI 6座CNG DAM16KRC,长安睿行M60 2020款 1.6L标准型国VI 厢货5座CNG DAM16KRC,长安睿行M60 2020款 1.6L基本型国VI 7座CNG DAM16KRC,长安睿行M60 2020款 1.6L基本型国VI 厢货2座CNG DAM16KRC,长安睿行M60 2023款 1.5L GDI舒适型客车6/7座,长安睿行M60 2023款 1.6L CNG舒适型厢货2座,长安睿行M60 2023款 1.5L GDI基本型厢货2座,长安睿行M60 2023款 1.5L GDI舒适型厢货2座,长安睿行M60 2023款 1.5L GDI精英型厢货2座,长安睿行M60 2023款 1.6L CNG舒适型客车6座,长安睿行M60 2023款 1.5L GDI基本型客车6/7座,长安睿行M60 2023款 1.5L GDI精英型客车6/7座
车前雾灯,,,,,,,,,,-,-,-,,,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,●,●,●,●,-,-,●,●,-,●,●,●,-,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG,汽油,汽油,汽油,CNG,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG,汽油,汽油,汽油,CNG,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,-,-,,,,,-,-,,,-,,,,-,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,50,12,50,50,50,12,50,50
气罐容积(L),-,-,-,-,-,-,-,-,-,70,-,-,-,70,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
