Feature,67739,67740,68595,68596,68597,68598
高精地图,●,●,-,-,-,-
高度(mm),1770,1770,1770,1770,1770,1770
高压快充,-,支持,-,-,支持,支持
高压平台（V）,-,800,-,-,800,800
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
面部识别,●,●,●,-,●,-
陡坡缓降,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●
长度(mm),4915,4915,4915,4915,4915,4915
长*宽*高(mm),4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770,4915*1905*1770
钥匙类型,,,,,,
配气机构,DOHC,-,DOHC,DOHC,-,-
遥控泊车,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,自然吸气,-,自然吸气,自然吸气,-,-
近光灯光源,,,,,,
辅助驾驶芯片,,,-,-,-,-
辅助驾驶系统,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),2825,2825,2825,2825,2825,2825
轮圈材质,,,,,,
车顶行李架,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,,,,
车载KTV,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,零跑C16 2024款 增程 200智驾版,零跑C16 2024款 纯电 520智驾版,零跑C16 2024款 增程 200尊享版,零跑C16 2024款 增程 200智享版,零跑C16 2024款 纯电 520尊享版,零跑C16 2024款 纯电 520智享版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内摄像头数量,,,,-,,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
起步提醒,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
语音分区域唤醒识别,,,,,,
语音免唤醒词,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
蠕行模式,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驾驶辅助路段,,,-,-,-,-
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,-,-,-,-
能量回收系统,●,●,●,●,●,●
能源类型_y,增程式,纯电动,增程式,增程式,纯电动,纯电动
能源类型_x,增程式,纯电动,增程式,增程式,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,-,铝合金,铝合金,-,-
缸体材料,铝合金,-,铝合金,铝合金,-,-
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●,●,●
第二排座椅调节,,,,,,
第二排座椅电动调节,●,●,●,●,●,●
第二排座椅功能,,,,-,,-
第三排座椅调节,,,,,,
空载最小离地间隙(mm),205,205,205,205,205,205
空调温度控制方式,,,,,,
空气质量监测,●,●,●,-,●,-
离去角(°),21,21,21,21,21,21
百公里耗电量(kWh/100km),18.5,14.8,18.5,18.5,14.8,14.8
疲劳驾驶提示,●,●,●,-,●,-
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),2.09,1.67,2.09,2.09,1.67,1.67
电池预加热,●,●,●,●,●,●
电池能量(kWh),28.4,67.7,28.4,28.4,67.7,67.7
电池类型,,,,,,
电池慢充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80
电池慢充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80
电池慢充时间(小时)_y,3,6,3,3,6,6
电池慢充时间(小时)_x,3,6,3,3,6,6
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.25,0.5,0.5,0.25,0.25
电池快充时间(小时)_x,0.5,0.25,0.5,0.5,0.25,0.25
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),231,292,231,231,292,292
电动机总扭矩(N·m),320,360,320,320,360,360
电动机总功率(kW),170,215,170,170,215,215
电动机(Ps),231,292,231,231,292,292
电动座椅记忆功能,,,,,,
电动后备厢位置记忆,●,●,●,-,●,-
电动后备厢,●,●,●,-,●,-
环视摄像头像素,,,,,,
环保标准_y,国VI,-,国VI,国VI,-,-
环保标准_x,国VI,-,国VI,国VI,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,92号,-,92号,92号,-,-
热泵空调,-,●,-,-,●,●
激光雷达线数,,,-,-,-,-
激光雷达数量,,,-,-,-,-
激光雷达型号,,,-,-,-,-
激光雷达品牌,,,-,-,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),50,-,50,50,-,-
气缸数(个),4,-,4,4,-,-
气缸排列形式,L,-,L,L,-,-
毫米波雷达数量,,,,,,
每缸气门数(个),4,-,4,4,-,-
杜比全景声(Dolby Atmos),○,○,○,○,○,○
最高车速(km/h),170,160,170,170,160,160
最大马力(Ps),95,292,95,95,292,292
最大满载质量(kg),2515,2545,2515,2515,2545,2545
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-
最大扭矩(N·m)_x,320,360,320,320,360,360
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,70,215,70,70,215,215
最大功率(kW)_x,170,215,170,170,215,215
最大净功率(kW),68,-,68,68,-,-
最低荷电状态油耗(L/100km)WLTC,6.19,-,6.19,6.19,-,-
最低荷电状态油耗(L/100km)CLTC,5.4,-,5.4,5.4,-,-
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘离手检测,●,●,●,●,●,●
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,●,●,●,-,●,-
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),2065,2095,2065,2065,2095,2095
摄像头数量,,,,,,
接近角(°),19,19,19,19,19,19
排量(mL),1499,-,1499,1499,-,-
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,,,,,,
手机无线充电功率,,,,,,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,
座椅布局,,,,,,
座位数(个),,,,,,
应用商店,●,●,●,●,●,●
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
对外放电,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3
宽度(mm),1905,1905,1905,1905,1905,1905
官方0-100km/h加速(s),8.46,6.37,8.46,8.46,6.37,6.37
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多层隔音玻璃,,,,,,
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,-,-,-,-,-,-
地图品牌,,,,,,
哨兵模式/千里眼,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●
后轮距(mm),1625,1625,1625,1625,1625,1625
后轮胎规格,,,,,,
后电动机最大扭矩(N·m),320,360,320,320,360,360
后电动机最大功率(kW),170,215,170,170,215,215
后电动机型号,-,TZ220XY008,-,-,TZ220XY008,TZ220XY008
后电动机品牌,-,金华凌昇,-,-,金华凌昇,金华凌昇
后方碰撞预警,●,●,●,●,●,●
后排独立空调,●,●,●,-,●,-
后排液晶屏幕尺寸,,,,,,
后排液晶屏幕,,,,,,
后排杯架,●,●,●,●,●,●
后排控制多媒体,●,●,●,●,●,●
后排座椅放倒形式,,,,,,
后排小桌板,●,●,●,-,●,-
后排多媒体屏幕数量,,,,,,
后排侧隐私玻璃,●,●,●,-,●,-
后悬架类型,,,,,,
后座出风口,●,●,●,●,●,●
后备厢容积(L),209-1022,209-1022,209-1022,209-1022,209-1022,209-1022
后制动器类型,,,,,,
可见即可说,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,-,●,●,-,-
发动机布局,横置,-,横置,横置,-,-
发动机型号,H15R,-,H15R,H15R,-,-
发动机,1.5L 95马力 L4,-,1.5L 95马力 L4,1.5L 95马力 L4,-,-
厂商指导价(元),17.98万,18.58万,16.28万,15.58万,16.88万,16.18万
厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
卫星导航系统,●,●,●,●,●,●
匝道自动驶出(入),●,●,-,-,-,-
助力类型,,,,,,
副驾驶位后排可调节按钮,●,●,●,●,●,●
副座椅调节方式,,,,,,
前轮距(mm),1625,1625,1625,1625,1625,1625
前轮胎规格,,,,,,
前方碰撞预警,●,●,●,●,●,●
前方感知摄像头像素,,,,,,
前方感知摄像头,,,,,,
前排座椅功能,,,,-,,-
前悬架类型,,,,,,
前制动器类型,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
