Feature,67024,67025,67026,69068,69069,69070
高度(mm),1540,1540,1540,1540,1540,1540
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),3780,3780,3780,3780,3780,3780
长*宽*高(mm),3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540,3780*1715*1540
钥匙类型,,,,,,
道路交通标识识别,-,-,○,-,-,-
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
运动风格座椅,●,●,●,●,●,●
轴距(mm),2500,2500,2500,2500,2500,2500
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,○,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,,,,
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,-,●,●,-,●,●
车窗一键升降功能,-,,,-,,
车型名称,海鸥 2024款 荣耀版 305km 活力版,海鸥 2024款 荣耀版 305km 自由版,海鸥 2024款 荣耀版 405km 飞翔版,海鸥 2025款 305km 活力版,海鸥 2025款 305km 自由版,海鸥 2025款 405km 飞翔版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
语音分区域唤醒识别,,,,,,
语音免唤醒词,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,○,-,-,-
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
级别,小型车,小型车,小型车,小型车,小型车,小型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),27,27,27,27,27,27
百公里耗电量(kWh/100km),-,-,-,9.9,9.9,10.1
疲劳驾驶提示,-,-,-,-,-,-
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,1.12,1.12,1.14
电池预加热,●,●,●,●,●,●
电池能量(kWh),30.08,30.08,38.88,30.08,30.08,38.88
电池类型,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,风冷,风冷,液冷,风冷,风冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置
