Feature,1011899,1011900,1011901,1011902,1011903,1011904,1011905,1011906,1011907,1011908,1011909,1011910,1011911,1011912,1011913,1011914,1011915,1011916,1011917,1011918,1015207,1015208,1015209,1015210,1015366,1015367,1015837,1017017,1017018,1017019,1017587,1018858
高度(mm),1920,1920,1920,1920,1980,1980,2066,2066,2260,2260,1980,1980,1980,2066,2066,2066,2260,2260,2260,2655,2000,2000,2000,2260,2000,2260,1920,1980,2066,2260,1965,2066
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4510,4421,4510,4421,4750,4750,4750,4750,4750,4750,5330,5330,5330,5330,5330,5330,5330,5330,5330,5945,4500,4500,4500,5030,4500,5030,4421,4750,4750,4750,4746,5330
长*宽*高(mm),4510×1677×1920,4421×1677×1920,4510×1677×1920,4421×1677×1920,4750×1700×1980,4750×1700×1980,4750×1700×2066,4750×1700×2066,4750×1700×2260,4750×1700×2260,5330×1700×1980,5330×1700×1980,5330×1700×1980,5330×1700×2066,5330×1700×2066,5330×1700×2066,5330×1700×2260,5330×1700×2260,5330×1700×2260,5945×2035×2655,4500*1685*2000,4500*1685*2000,4500*1685*2000,5030*1700*2260,4500*1685*2000,5030*1700*2260,4421×1677×1920,4750×1700×1980,4750×1700×2066,4750×1700×2260,4746*1760*1965,5330×1700×2066
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,2330,2330,2330,2330,2330,2330,2890,2890,2890,2890,2890,2890,2890,2890,2890,3655,3050,3050,3050,2590,3050,2590,3050,2330,2330,2330,3050,2890
