Feature,1018008,1018009,1018010,1018011,1018012,1018013,1018014,1018015
高度(mm),1990,2060,2700,2750,1990,2060,2700,2750
驾驶辅助影像,-,-,-,-,-,-,-,-
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),5780,5990,5990,5990,5780,5875,5875,5875
长*宽*高(mm),5780*1820*1990,5990*1920*2060,5990*1920*2700,5990*1920*2750,5780*1820*1990,5875*1830*2060,5875*1830*2700,5875*1830*2750
钥匙类型,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-
车型名称,小象S卡EV 2024款 3815货箱 底盘 豪华型,小象S卡EV 2024款 3815货箱 栏板车 豪华型,小象S卡EV 2024款 3815货箱 无改仓栅车 豪华型,小象S卡EV 2024款 3815货箱 无改厢式车 豪华型,小象S卡EV 2024款 3700货箱 底盘 豪华型 中航电池,小象S卡EV 2024款 3700货箱 栏板车 豪华型 中航电池,小象S卡EV 2024款 3700货箱 无改仓栅车 豪华型 中航电池,小象S卡EV 2024款 3700货箱 无改厢式车 豪华型 中航电池
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,3815x1820x380,3815x1820x380,3815x1840x1800,-,3700x1730x380,3700x1730x380,3700x1750x1800
语音识别控制系统,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),15,15,15,15,15,15,15,15
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),140,140,140,140,140,140,140,140
电池能量(kWh),56.67,56.67,56.67,56.67,56.67,56.67,56.67,56.67
电池类型,,,,,,,,
电池冷却方式,液冷,液冷,液冷,液冷,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),116,116,116,116,116,116,116,116
电动机总扭矩(N·m),256,256,256,256,256,256,256,256
电动机总功率(kW),85,85,85,85,85,85,85,85
电动机(Ps),116,116,116,116,116,116,116,116
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
