Feature,53177,53219,53265,53266,53267,53268,56676,57576,57577,57610,58216,58217,59054,59067,59068,59069,60767,61020,62373,69138,69140,71954,71955,72008,72009,72010,72011
高度(mm),1415,1415,1415,1415,1415,1415,1420,1420,1420,1415,1415,1420,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1420,1415,1415,1420
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,单电机,-,-,-,单电机,单电机,-,单电机,单电机,-,-,-,-,-,单电机,-,-,-,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4674,4674,4674,4674,4674,4674,4674,4548,4548,4548,4548,4548,4674,4674,4674,4674,4674,4548,4674,4685,4685,4685,4685,4685,4685,4685,4685
长*宽*高(mm),4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1420,4548*1802*1420,4548*1802*1420,4548*1802*1415,4548*1802*1415,4548*1802*1420,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4674*1802*1415,4548*1802*1415,4674*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1415,4685*1802*1420,4685*1802*1415,4685*1802*1415,4685*1802*1420
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,●,●,-,●,-,●,-,●,●
远程启动功能,,,,,,,,,-,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,,,-,-,,,,,,,,,,-,,,-,-,,,-,,-,,-,,
辅助驾驶等级,,,-,-,,,,,,,,,,-,,,-,-,,,-,,-,,-,,
轴距(mm),2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,●,●,-,●,-,●,-,●,●
车道偏离预警系统,●,●,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,●,●,-,●,-,●,-,●,●
车道保持辅助系统,●,●,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,●,●,-,●,-,●,-,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,-,,,,,,,,,,,,,,,,,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,两厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,思域 2022款 240TURBO CVT燃擎版,思域 2022款 240TURBO CVT劲动版,思域 2022款 180TURBO CVT尚动版,思域 2022款 180TURBO CVT尚擎版,思域 2022款 240TURBO CVT燃动版,思域 2022款 240TURBO CVT劲控版,思域 2023款 2.0L e:HEV 劲速版,思域 2023款 HATCHBACK 240TURBO CVT极锋版,思域 2023款 HATCHBACK 240TURBO 手动极劲版,思域 2023款 HATCHBACK 240TURBO CVT极锐版,思域 2023款 HATCHBACK 2.0L e:HEV 极曜版,思域 2023款 HATCHBACK 2.0L e:HEV 极控版,思域 2023款 240TURBO CVT劲动·C位客特别版,思域 2023款 2.0L e:HEV 先锋版,思域 2023款 2.0L e:HEV 锐力版,思域 2023款 240TURBO CVT劲控·C位客特别版,思域 2022款 240TURBO CVT劲骋版,思域 2023款 HATCHBACK 240TURBO CVT极跃版,思域 2023款 240TURBO CVT劲势版,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 2.0L e:HEV 混动,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 180TURBO CVT 智趣,思域 2025款 240TURBO CVT 智趣Max,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max
车前雾灯,,,-,-,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,,-,,,,,-,,-,-,,-,-,-,-,-,-,,-,,-,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,
语音识别控制系统,,,-,,,,,,,,,,,,,,,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
语音分区域唤醒识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),89.5,89.5,89.5,89.5,89.5,89.5,-,89.5,89.5,89.5,-,-,89.5,-,-,89.5,89.5,89.5,89.5,89.5,-,89.5,89.5,89.5,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-,●,●,●,●,●,●,-,-,●,-,-,-,-,●,-,●,-,●,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,,,,,,,,,,,,,,,,
能量回收系统,-,-,-,-,-,-,●,-,-,-,●,●,-,●,●,-,-,-,-,-,●,-,-,-,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),73,73,73,73,73,73,-,73,73,73,-,-,73,-,-,73,73,73,73,73,-,73,73,73,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合功率(kW),-,-,-,-,-,-,149,-,-,-,149,149,-,149,149,-,-,-,-,-,149,-,-,-,149,149,149
