Feature,1009676,1009798,1009799
高度(mm),2745,2745,2745
驾驶辅助影像,,,
驾驶模式切换,-,-,-
驱动电机数,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-
长度(mm),7148,7148,7148
长*宽*高(mm),7148×2075×2745,7148×2075×2745,7148×2075×2745
钥匙类型,,,
远光灯光源,,,
近光灯光源,,,
轴距(mm),4000,4000,4000
轮圈材质,,,
转向辅助灯,○,○,○
车门数(个),2,2,2
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车载电视,●,●,○
车载冰箱,●,●,○
车身结构_y,客车,客车,客车
车身结构_x,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,●,●,●
车窗一键升降功能,-,-,-
车型名称,宇通T7新能源 2020款 纯电自动公务版,宇通T7新能源 2020款 纯电自动旗舰版,宇通T7新能源 2020款 纯电自动商务版
车前雾灯,,,
车内环境氛围灯,-,-,-
车内化妆镜,-,-,-
车内中控锁,-,-,-
车内PM2.5过滤装置,-,-,-
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-
语音识别控制系统,-,-,-
行车电脑显示屏幕,-,-,-
蓝牙/车载电话,●,●,○
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,○,○,○
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,轻客,轻客,轻客
简称,2挡自动,2挡自动,2挡自动
第二排座椅调节,,,
空调温度控制方式,,,
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,-,-,-
电池组质保,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),155.59,155.59,155.59
电池充电时间,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置
电动机总扭矩(N·m),-,-,-
电动机总功率(kW),240,240,240
电动机(Ps),326,326,326
电动座椅记忆功能,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
温度分区控制,●,●,●
液晶仪表尺寸,-,-,-
最高车速(km/h),120,120,120
最小离地间隙(mm),150,150,150
最大载重质量(kg),-,-,-
最大满载质量(kg),-,-,-
最大扭矩(N·m),-,-,-
最大功率(kW),240,240,240
无钥匙进入功能,-,-,-
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),5650,5800,5650
挡位个数,2,2,2
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,-,-,-
慢充时间(小时),-,-,-
感应雨刷功能,-,-,-
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时),1.2,1.2,1.2
座椅材质,,,
座位数(个),17-20,11,19-23
并线辅助,-,-,-
工信部续航里程(km),-,-,-
工信部纯电续航里程(km),-,-,-
巡航系统,-,-,-
导航路况信息显示,-,-,-
宽度(mm),2075,2075,2075
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,-,-,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
后雨刷,●,●,●
后轮距(mm),1556,1556,1556
后轮胎规格,215/75 R17.5,215/75 R17.5,215/75 R17.5
后电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),240,240,240
后排车门开启方式,折叠门,折叠门,折叠门
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,○,○,○
后制动器类型,通风盘式,通风盘式,通风盘式
变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT)
厂商指导价(元),106.00万,116.00万,88.00万
厂商,宇通客车,宇通客车,宇通客车
卫星导航系统,○,●,○
助力类型,电动助力,电动助力,电动助力
副座椅调节方式,,,
前轮距(mm),1725,1725,1725
前轮胎规格,215/75 R17.5,215/75 R17.5,215/75 R17.5
前电动机最大扭矩(N·m),-,-,-
前电动机最大功率(kW),-,-,-
前排座椅功能,-,-,-
前悬架类型,独立悬挂,独立悬挂,独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),●,●,●
准拖挂车总质量(kg),-,-,-
内后视镜功能,,,
全液晶仪表盘,-,-,-
主座椅调节方式,,,
主动刹车/主动安全系统,-,-,-
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中控彩色屏幕,,,
中控屏幕尺寸,-,-,-
上市时间,2020.07,2020.07,2020.07
上坡辅助,-,-,-
USB/Type-C接口数量,-,-,-
OTA升级,-,-,-
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,-,-,-
ABS防抱死,●,●,●
220V/230V电源,●,●,○
