Feature,1014186,1014187,1016355,1016648,1016649,1017013,1017014,1017582,1017583,1017584,1017585,1017993,1017994,1017995,1017996,1018376,1018377
高度(mm),2100,2100,2100,2100,2100,2100,2115,2600,2730,2600,2650,2105,2105,2110,2110,2075,2095
驾驶辅助影像,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,,,,,,,,,-,-
驱动方式,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5550,5550,5535,5335,5535,5535,5535,5535,5535,5535,5535,5735,5735,5790,5790,5535,5535
长*宽*高(mm),5550×1780×2100,5550×1780×2100,5535*1770*2100,5335*1770*2100,5535*1770*2100,5535*1770*2100,5535*1770*2115,5535*1770*2600,5535*1795*2730,5535*1770*2600,5535*1795*2650,5735*1770*2105,5735*1770*2105,5790*1770*2110,5790*1770*2110,5535*1770*2075,5535*1770*2095
钥匙类型,,,,,,,,,,,,,,,,,
配气机构,未知,未知,DOHC,未知,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3600,3600,2850,2850,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金杯T5 2022款 1.6L双排标准型后双轮2.6米国VI SWD16M,金杯T5 2022款 1.6L标准型后双轮3.4米国VI SWD16M,2023款 1.6L标准型双排2.6米后双轮,2023款 1.6L标准型单排3.2米后双轮,2023款 1.6L标准型单排3.4米后双轮,金杯T5 2023款 1.6L舒享型单排3.4米后双轮,金杯T5 2023款 1.6L舒享型双排2.6米后双轮,2024款 1.6L标准型单排3.4米后双轮SWD16MS仓栅,2024款 1.6L标准型单排3.4米后双轮SWD16MS厢货,2024款 1.6L标准型双排2.6米后双轮SWD16MS仓栅,2024款 1.6L标准型双排2.6米后双轮SWD16MS厢货,2024款 T5L 1.6L舒适型载货汽车单排3.6米后双轮 总质量2620,2024款 T5L 1.6L舒适型载货汽车单排3.6米后双轮 总质量3495,2024款 T5L 1.6L舒适型载货汽车双排2.85米后双轮 总质量2680,2024款 T5L 1.6L舒适型载货汽车双排2.85米后双轮 总质量3430,金杯T5 2024款 1.6L 标准型 单排3.4米后双轮,金杯T5 2024款 1.6L 标准型 双排2.6米后双轮
车前雾灯,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2605x1680x370,3400x1680x370,2605x1680x370,3200x1680x370,3400x1680x370,3400x1680x370,2605x1680x370,3400x1680x370,3400x1740x1800,2605x1680x370,2605x1700x1700,3600x1680x370,3600x1680x370,2850x1680x370,2850x1680x370,3400x1680x370,2605x1680x370
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,待查,待查,待查,待查,待查,待查,待查,待查,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,4,未知,4,未知,未知,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,116,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
最大载重质量(kg),1495,1495,1495,1495,1495,1495,1495,-,-,-,-,975,1850,745,1495,1495,1495
最大满载质量(kg),3375,1495,3360,3065,3065,3065,3360,3495,3495,3460,3495,2620,3495,2680,3430,2220,2570
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
