Feature,55276,55441
高度(mm),1699,1699
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程
面部识别,-,-
隐藏电动门把手,-,-
陡坡缓降,●,●
限滑差速器/差速锁,-,-
长度(mm),4533,4533
长*宽*高(mm),4533*1848*1699,4533*1848*1699
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,-,-
道路交通标识识别,-,-
透明底盘/540度影像,●,-
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),2670,2670
轮圈材质,,
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车载智能系统,,
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,星途追风ET-i 2022款 1.5TCI-DHT 105KM乘风起版,星途追风ET-i 2022款 1.5TCI-DHT 105KM御风行版
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,-
车体结构,承载式,承载式
负离子发生器,-,-
语音识别控制系统,,
触摸式阅读灯,-,-
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,-,-
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动泊车入位,-,-
自动头灯,●,●
膝部气囊,-,-
能量回收系统,●,●
能源类型,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铸铁,铸铁
级别,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),510,510
系统综合功率(kW),240,240
系统综合功率(Ps),326,326
简称,3挡DHT,3挡DHT
第二排独立座椅,-,-
第二排座椅调节,-,-
第二排座椅电动调节,-,-
第二排座椅功能,-,-
空调温度控制方式,,
空气悬架,-,-
离去角(°),22,22
百公里耗电量(kWh/100km),17.8,17.8
疲劳驾驶提示,-,-
电芯品牌,国轩高科,国轩高科
电能当量燃料消耗量(L/100km),2,2
电磁感应悬架,-,-
电池预加热,●,●
电池能量(kWh),19.27,19.27
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置
电动机总扭矩(N·m),315,315
电动机总功率(kW),125,125
电动机总功率(Ps),170,170
电动机(Ps),170,170
电动扰流板,-,-
电动座椅记忆功能,-,-
电动吸合车门,-,-
电动后备厢位置记忆,●,-
电动后备厢,●,-
环保标准_y,国VI,国VI
