Feature,1009229,1009230,1009231,1009232,1011332,1011333,1011334,1011335,1011336,1011337,1011338,1011339,1011686
高度(mm),1975,1890,1975,1890,1990,2010,1990,2470,2390,2010,2840,2505,2505
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5005,5275,5005,5275,5175,5275,5175,5180,5220,5275,5275,5320,5320
长*宽*高(mm),5005×1680×1975,5275×1680×1890,5005×1680×1975,5275×1680×1890,5175×1700×1990,5275×1700×2010,5175×1700×1990,5180×1710×2470,5220×1780×2390,5275×1700×2010,5275×1700×2840,5320×1760×2505,5320×1760×2505
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,
车门数(个),2,4,2,4,2,4,2,2,2,4,4,4,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-
