Feature,65665,65739,65821,65823,67688,69132,69133,69134,69135,69382,71914
高度(mm),1820,1820,1820,1820,1814,1820,1820,1820,1820,1814,1820
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4946,4946,4946,4946,4970,4946,4946,4946,4946,4970,4946
长*宽*高(mm),4946*2047*1820,4946*2047*1820,4946*2047*1820,4946*2047*1820,4970*2047*1814,4946*2047*1820,4946*2047*1820,4946*2047*1820,4946*2047*1820,4970*2047*1814,4946*2047*1820
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,双涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,双涡轮增压,涡轮增压+电动增压
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,●,-,-,-,-,●,-
辅助驾驶等级,,,,,,,,,,,
辅助泊车入位,○,●,●,○,●,○,○,●,●,●,○
轴距(mm),2997,2997,2997,2997,2998,2997,2997,2997,2997,2998,2997
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,●,●,●,●,○,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载电视,○,○,○,○,-,○,○,○,○,-,○
车载智能系统,,,,,,,,,,,
车载冰箱,○,○,○,○,●,○,○,○,○,●,○
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车库门遥控装置,○,○,○,○,-,○,○,○,○,-,○
车型名称,揽胜运动版 2024款 360PS S,揽胜运动版 2024款 400PS Dynamic HSE,揽胜运动版 2024款 400PS 典范版,揽胜运动版 2024款 400PS Dynamic SE,揽胜运动版 2024款 4.4 V8 SV Edition One,揽胜运动版 2025款 360PS S,揽胜运动版 2025款 400PS Dynamic SE,揽胜运动版 2025款 400PS Dynamic HSE,揽胜运动版 2025款 400PS 典范版,揽胜运动版 2025款 4.4 V8 SV Edition Two,揽胜运动版 2025款 400PS 藏锋特别版
车前雾灯,,,,,,,,,,,
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,,-,-,-,-,,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●
蠕行模式,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
能源类型_x,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),21.5,21.5,21.5,21.5,20.9,21.5,21.5,21.5,21.5,20.9,21.5
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,
空气质量监测,●,●,●,●,●,●,●,●,●,●,●
空气悬架,●,●,●,●,●,●,●,●,●,●,●
离去角(°),24.9,24.9,24.9,24.9,23.6,24.9,24.9,24.9,24.9,23.6,24.9
疲劳驾驶提示,●,●,●,●,●,○,●,●,●,●,●
电动座椅记忆功能,,,,,,,,,,,
电动吸合车门,,,,,,,,,,,
