Feature,1019131,1019132,1019133,1019134,1019135,1019136,1019137,1019138
高度(mm),2015,2015,2405,2405,2405,2030,2015,2405
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),5364,5364,5364,5364,5364,5364,5364,5364
长*宽*高(mm),5364*2030*2015,5364*2030*2015,5364*2030*2405,5364*2030*2405,5364*2030*2405,5364*2030*2030,5364*2030*2015,5364*2030*2405
钥匙类型,,,,,,,,
道路救援呼叫,○,○,○,○,○,-,-,-
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),3366,3366,3366,3366,3366,3366,3366,3366
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,新途EV70 2025款 500km 长轴低顶豪华版 7座,新途EV70 2025款 420km 长轴低顶豪华版 7座,新途EV70 2025款 500km 长轴中顶豪华版 7座,新途EV70 2025款 420km 长轴中顶豪华版 7座,新途EV70 2025款 420km 长轴中顶豪华版 9座,新途EV70 2025款 410km 短轴低顶精英版 5/6座,新途EV70 2025款 366km 长轴低顶精英版 6/7座,新途EV70 2025款 366km 长轴中顶精英版 6/7座
