Feature,64158
高精地图,●
高度(mm),1545
高压快充,支持
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,四电机
驱动方式,
首任车主质保政策,
风阻系数(Cd),-
面部识别,●
隐藏电动门把手,●
陡坡缓降,●
防侧翻系统,●
长度(mm),5018
长*宽*高(mm),5018*1999*1545
钥匙类型,
遥控泊车,●
道路救援呼叫,●
道路交通标识识别,●
透明底盘/540度影像,●
远程启动功能,
远光灯光源,
近光灯光源,
运动风格座椅,●
辅助驾驶芯片,
辅助驾驶系统,
辅助驾驶等级,
轴距(mm),3005
轮圈材质,
车门数(个),
车门开启方式,平开门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,-
车载智能系统,
车载卫星通信,●
车身结构_y,掀背车
车身结构_x,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车机系统存储(GB),
车机系统内存(GB),
车机智能芯片,
车型名称,极氪001 FR 2023款 FR版 100kWh
车前雾灯,-
车内香氛装置,●
车内生物监测系统,●
车内环境氛围灯,
车内摄像头数量,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
语音连续识别,●
语音识别控制系统,
语音助手唤醒词,
语音分区域唤醒识别,
语音免唤醒词,●
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
芯片总算力,
自适应远近光,●
自动驾驶辅助路段,
自动驻车,●
自动泊车入位,●
自动开合车门,●
自动头灯,●
自动变道辅助,●
能量回收系统,●
能源类型,纯电动
胎压监测功能,
级别,中大型车
简称,电动车单速变速箱
第二排座椅调节,
第二排座椅电动调节,●
第二排座椅功能,
空载最小离地间隙(mm),160
空调温度控制方式,
空气质量监测,●
离去角(°),16
疲劳驾驶提示,●
电芯品牌,
电池预加热,●
电池能量(kWh),100
电池类型,
电池特有技术,CTP3.0
电池快充电量范围(%)_y,10-80
电池快充电量范围(%)_x,10-80
电池快充时间(小时)_y,0.25
电池快充时间(小时)_x,0.25
电池冷却方式,液冷
电机类型,永磁/同步
电机布局,前置+后置
电动机总马力(Ps),1265
电动机总扭矩(N·m),1280
电动机总功率(kW),930
电动机(Ps),1265
电动座椅记忆功能,
电动吸合车门,
电动后备厢位置记忆,●
电动后备厢,●
牵引力控制(ASR/TCS/TRC等),●
热泵空调,●
灯光特色功能,
激光雷达数量,
满载最小离地间隙(mm),147
温度分区控制,●
液晶仪表尺寸,
毫米波雷达数量,
模拟声浪,●
杜比全景声(Dolby Atmos),●
最高车速(km/h),280
最大满载质量(kg),3000
最大扭矩(N·m),1280
最大功率(kW),930
无钥匙进入功能,
无钥匙启动系统,●
无框设计车门,●
方向盘记忆,●
方向盘离手检测,●
方向盘材质,
方向盘换挡,-
方向盘加热,●
方向盘位置调节,
整车质保,
整备质量(kg),2525
摄像头数量,
接近角(°),12
换挡形式,
挡位个数,1
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机无线充电功率,
手机互联/映射,-
手机APP远程功能,
慢充接口位置,车左后侧
感应雨刷功能,
感应后备厢,●
快充接口位置,车左后侧
快充功能,支持
座椅材质,
座位数(个),
应用商店,●
并线辅助,●
巡航系统,
导航路况信息显示,●
对外放电,●
对外交流放电功率(kW),3.3
宽度(mm),1999
官方0-100km/h加速(s),2.02
安全带未系提醒,
天窗类型,-
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外观套件,
外后视镜功能,
备胎规格,
坦克转弯,●
地图品牌,
四驱形式,
哨兵模式/千里眼,●
后雨刷,-
后轮距(mm),1699
后轮胎规格,
后电动机最大功率(kW),620
后电动机型号,TZ235XYK01
后电动机品牌,威睿电动
后方碰撞预警,●
后排独立空调,●
后排液晶屏幕尺寸,
后排液晶屏幕,
后排杯架,●
后排控制多媒体,●
后排座椅放倒形式,
后排多媒体屏幕数量,
后排侧隐私玻璃,●
后悬架类型,
后座出风口,●
后备厢容积(L),2144
后制动器类型,
可见即可说,●
可变转向比,●
可变悬架功能,
变速箱类型,固定齿比变速箱
厂商指导价(元),76.90万
厂商,极氪
卫星导航系统,●
单踏板模式,●
匝道自动驶出(入),○
助力类型,
副驾驶位后排可调节按钮,●
副座椅调节方式,
前轮距(mm),1697
前轮胎规格,
前电动机最大功率(kW),310
前电动机型号,TZ190XYK01
前电动机品牌,威睿电动
前方碰撞预警,●
前方感知摄像头像素,
前方感知摄像头,
前排座椅功能,
前悬架类型,
前大灯雨雾模式,●
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,●
内后视镜功能,
全液晶仪表盘,●
光感天幕,○
充电站（座）,1130+
充电桩（根）,6358+
倒车车侧预警系统,●
低速行车警告,●
主座椅调节方式,
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2023.10
上坡辅助,●
三电首任车主质保政策,
三电系统质保,
Wi-Fi热点,●
USB/Type-C最大充电功率,
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,●
HUD抬头尺寸,
DOW开门预警,●
CLTC纯电续航里程(km)_y,550
CLTC纯电续航里程(km)_x,550
ABS防抱死,●
4G/5G网络,
220V/230V电源,●
