Feature,57574,57575,57582,59700,59705,60211,60212,63321,65019,69361,69362,69669
高度(mm),1448,1460,1460,1460,1448,1460,1460,1446,1456,1460,1460,1460
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,-,-,单电机,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,
首任车主质保政策,,,,,,,,-,-,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,,-,-,-,-
长度(mm),4697,4684,4684,4684,4684,4684,4684,4720,4697,4684,4684,4684
长*宽*高(mm),4697*1843*1448,4684*1843*1460,4684*1843*1460,4684*1843*1460,4684*1843*1448,4684*1843*1460,4684*1843*1460,4720*1877*1446,4697*1843*1456,4684*1843*1460,4684*1843*1460,4684*1843*1460
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,-,●,●,●,●
道路交通标识识别,●,●,●,●,●,-,●,-,-,●,●,-
透明底盘/540度影像,●,●,●,●,●,○,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,机械+涡轮增压,机械+涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,,,,,-,,-,-,,,-
轴距(mm),2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730
轮圈材质,,,,,,,,,,,,
转向头灯,●,●,●,●,●,-,●,-,-,●,●,-
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,-,●,-,-,●,●,-
车道偏离预警系统,●,●,●,●,●,-,●,-,-,●,●,-
车道保持辅助系统,●,●,●,●,●,-,●,-,-,●,●,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,-,-,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门2座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,,
车机智能芯片,,,,,,,,,,,,
车型名称,领克03 2023款 03+ 2.0TD 自动性能套装,领克03 2023款 2.0TD DCT劲Halo,领克03 2023款 1.5T EM-F PM,领克03 2023款 2.0TD DCT劲Pro,领克03 2023款 03+ 2.0TD 自动驭风版,领克03 2023款 1.5TD DCT劲Plus,领克03 2023款 1.5TD DCT劲Pro,领克03 2023款 03+ TCR Cyan 前驱版,领克03 2023款 03+ Racing 四驱版,领克03 2025款 1.5TD DCT冠军版Pro,领克03 2025款 2.0TD DCT冠军版Pro,领克03 2025款 1.5TD DCT冠军版Plus
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,-,,-,,,,-
车内化妆镜,,,,,,,,-,-,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,
语音识别控制系统,,,,,,,,,,,,
语音分区域唤醒识别,-,,,,-,,,-,-,,,
行车电脑显示屏幕,,,,,,,,,,,,
行程(mm),93.2,93.2,-,93.2,93.2,-,-,-,-,-,93.2,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,-,●,-,-,●,●,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,-,○,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,●,●,-,●,-,-,-,-,-,-,-
能量回收系统,-,-,●,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),82,82,-,82,82,-,-,-,-,-,82,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
