Feature,1016868,1016869,1016870,1016871,1016873,1016874,1016875,1016876,1019125,1019126,1019127,1019128,1019129,1019130,1019145,1019146,1019147,1019148,1019149,1019150,1019151,1019152,1019153,1019154,1019155,1019156,1019157,1019158,1019159,1019160,1019161,1019162,1019163,1019164,1019165,1019166,1019167,1019168,1019169,1019170,1019542,1019543,1019544,1019545,1019546,1019547,1019548,1019549,1019550,1020812,1020814,1020815,1020816,1020817,1020818,1020819,1020820,1020821,1020822,1020823,1020831,1020832,1020833,1020851,1020852
高度(mm),1920,1920,1920,1920,1920,1920,1920,1920,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1945,1945,1872,1872,1872,1945,1945
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长度(mm),5535,5535,5535,5535,5535,5565,5535,5565,5535,5775,5535,5775,5535,5775,5435,5435,5435,5435,5435,5435,5435,5435,5450,5450,5450,5450,5450,5450,5450,5450,5450,5685,5685,5685,5685,5685,5685,5685,5685,5685,5705,5705,5705,5705,5705,5705,5705,5705,5705,5450,5435,5435,5435,5450,5450,5435,5435,5435,5435,5435,5435,5435,5435,5435,5435
