Feature,1015211,1016659,1016660,1016661,1016662,1016663,1016907,1016908,1016909,1016910,1016911,1016912,1017199,1017200,1017201
高度(mm),1965,1965,1965,1965,1965,1965,2035,2035,2035,2035,2035,2035,2035,2035,2035
驾驶辅助影像,-,,,-,,-,,-,-,,-,-,,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4745,4745,4745,4745,4745,4745,4890,4890,4890,4890,4890,4890,5390,5390,5390
长*宽*高(mm),4745*1760*1965,4745*1760*1965,4745*1760*1965,4745*1760*1965,4745*1760*1965,4745*1760*1965,4890*1715*2035,4890*1715*2035,4890*1715*2035,4890*1715*2035,4890*1715*2035,4890*1715*2035,5390*1715*2035,5390*1715*2035,5390*1715*2035
钥匙类型,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3150,3150,3150,3150,3150,3150,3380,3380,3380
轮圈材质,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,蓝猫 2023款 M1 国轩高科 40.55kWh 精英版,蓝猫 2023款 M1 国轩高科 40.55kWh 旗舰版,蓝猫 2023款 M1 宁德时代 41.86kWh 旗舰版,蓝猫 2023款 M1 宁德时代 41.86kWh 精英版,蓝猫 2023款 M1 中创新航 38.64kWh 旗舰版,蓝猫 2023款 M1 中创新航 38.64kWh 精英版,蓝猫 2023款 M2 国轩高科 41.93kWh 旗舰版,蓝猫 2023款 M2 国轩高科 41.93kWh 精英版,蓝猫 2023款 M2 国轩高科 41.93kWh 舒适版,蓝猫 2023款 M2 亿纬动力 41.86kWh 旗舰版,蓝猫 2023款 M2 亿纬动力 41.86kWh 精英版,蓝猫 2023款 M2 亿纬动力 41.86kWh 舒适版,蓝猫 2023款 M2 Plus 国轩高科 41.93kWh 旗舰版,蓝猫 2023款 M2 Plus 国轩高科 41.93kWh 精英版,蓝猫 2023款 M2 Plus 国轩高科 41.93kWh 舒适版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2785x1595x1310,2785x1595x1310,2785x1595x1310,2785x1595x1310,2785x1595x1310,2785x1595x1310,2670x1550x1350,2670x1550x1350,2670x1550x1350,2670x1550x1350,2670x1550x1350,2670x1550x1350,3150x1550x1350,3150x1550x1350,3150x1550x1350
行车电脑显示屏幕,,,,,,,,,,,,,,,
蓝牙/车载电话,-,●,●,-,●,-,●,●,-,●,●,-,●,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,
百公里耗电量(kWh/100km),14.69,14.69,15.17,15.17,14.86,14.86,16.7,16.7,16.7,16.6,16.6,16.6,16.7,16.7,16.7
电池组质保,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,六年或30万公里,六年或30万公里,六年或30万公里,五年或20万公里,五年或20万公里,五年或20万公里,六年或30万公里,六年或30万公里,六年或30万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),40.55,40.55,41.86,41.86,38.64,38.64,41.93,41.93,41.93,41.86,41.86,41.86,41.93,41.93,41.93
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),220,220,220,220,220,220,230,230,230,230,230,230,230,230,230
电动机总功率(kW),60,60,60,60,60,60,70,70,70,70,70,70,77,77,77
电动机(Ps),82,82,82,82,82,82,95,95,95,95,95,95,105,105,105
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),80,80,80,80,80,80,90,90,90,90,90,90,90,90,90
最小离地间隙(mm),173,173,173,173,173,173,125,125,125,125,125,125,125,125,125
最大载重质量(kg),1030,1030,1045,1045,1050,1050,1410,1410,1410,1410,1410,1410,1300,1300,1300
最大扭矩(N·m),220,220,220,220,220,220,230,230,230,230,230,230,230,230,230
最大功率(kW),60,60,60,60,60,60,70,70,70,70,70,70,77,77,77
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,,,-,,,-,,,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1520,1520,1520,1520,1500,1500,1610,1610,1610,1610,1610,1610,1720,1720,1720
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,
座位数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),276,276,276,276,260,260,251,251,251,252,252,252,251,251,251
工信部纯电续航里程(km),276,276,276,276,260,260,251,251,251,252,252,252,251,251,251
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1760,1760,1760,1760,1760,1760,1715,1715,1715,1715,1715,1715,1715,1715,1715
安全带未系提醒,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-
多媒体/充电接口,,,,,,,-,-,-,-,-,-,-,-,-
多功能方向盘,-,●,●,-,●,-,●,●,-,●,●,-,●,●,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1525,1525,1525,1525,1525,1525,1450,1450,1450,1450,1450,1450,1450,1450,1450
后轮胎规格,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,195R14C,195R14C,195R14C,195R14C,195R14C,195R14C,195R14C,195R14C,195R14C
后电动机最大扭矩(N·m),220,220,220,220,220,220,230,230,230,230,230,230,230,230,230
后电动机最大功率(kW),60,60,60,60,60,60,70,70,70,70,70,70,77,77,77
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),13.68万,16.68万,16.98万,13.98万,15.98万,13.48万,16.58万,14.68万,13.28万,16.48万,14.58万,13.18万,17.68万,15.58万,14.48万
厂商,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车,江淮汽车
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
