Feature,1005260,1005261,1005262,1005263,1005714,1005715,1005716,1005717,1005718,1005719,1005720,1005721,1006972,1006973
高度(mm),1760,1760,1650,1650,1700,1700,1700,1700,1760,1760,1760,1760,1760,1760
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5576,5221,5455,5100,5100,5455,5100,5455,5221,5576,5221,5576,5100,5455
长*宽*高(mm),5576×1760×1760,5221×1760×1760,5455×1760×1650,5100×1760×1650,5100×1760×1700,5455×1760×1700,5100×1760×1700,5455×1760×1700,5221×1760×1760,5576×1760×1760,5221×1760×1760,5576×1760×1760,5100×1760×1760,5455×1760×1760
钥匙类型,,,,,,,,,,,,,,
配气机构,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
轴距(mm),3380,3025,3380,3025,3025,3380,3025,3380,3025,3380,3025,3380,3025,3380
轮圈材质,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
