Feature,61460,62731,62733,62927,62996,63019,63020,63241,64032,64033,64034,64078,64079,67628,67632,68723,68728,68729,68732,68733,68734
高度(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
驾驶辅助影像,-,-,-,,,,,,,,,-,,,,-,-,-,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,-,-,-,-,-,-,-,单电机,单电机,单电机,单电机,单电机,-,单电机,-,-,-,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460,4460
长*宽*高(mm),4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620,4460*1825*1620
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,●,-,-,-,-,-,-,●,-,-,●,●,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,
车型名称,卡罗拉锐放 2023款 双擎 2.0L 先锋版,卡罗拉锐放 2023款 2.0L 先锋版,卡罗拉锐放 2023款 2.0L 精英版,卡罗拉锐放 2023款 2.0L 旗舰版,卡罗拉锐放 2023款 2.0L 20周年铂金纪念版,卡罗拉锐放 2023款 2.0L 尊享版,卡罗拉锐放 2023款 2.0L CARE版,卡罗拉锐放 2023款 2.0L 豪华版,卡罗拉锐放 2023款 双擎 2.0L 豪华版,卡罗拉锐放 2023款 双擎 2.0L 尊享版,卡罗拉锐放 2023款 双擎 2.0L 旗舰版,卡罗拉锐放 2023款 双擎 2.0L 精英版,卡罗拉锐放 2023款 双擎 2.0L CARE版,卡罗拉锐放 2024款 2.0L 旗舰版,卡罗拉锐放 2024款 2.0L智能电混双擎 旗舰版,卡罗拉锐放 2024款 2.0L 先锋版,卡罗拉锐放 2024款 2.0L 精英版,卡罗拉锐放 2024款 2.0L 豪华版,卡罗拉锐放 2024款 2.0L 智能电混双擎 先锋版,卡罗拉锐放 2024款 2.0L 智能电混双擎 精英版,卡罗拉锐放 2024款 2.0L 智能电混双擎 豪华版
车前雾灯,-,-,-,,,,,,,,,-,,,,-,-,-,-,-,-
车内香氛装置,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,-,-,-
负离子发生器,-,-,-,●,-,-,-,-,-,●,●,-,●,-,●,-,-,-,-,-,-
语音连续识别,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,-,●
语音识别控制系统,-,-,,,,,,,,,,,,,,-,-,,-,-,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,-,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,
行程(mm),97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,,,,,,,,,,
能源类型_y,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
