Feature,62364,62365,62726,64350,64351,64723,64727
高度(mm),1550,1550,1550,1550,1550,1550,1550
驾驶辅助影像,-,,,-,,,-
驾驶模式切换,,,,-,-,-,
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4700,4700,4700,4675,4675,4700,4700
长*宽*高(mm),4700*1790*1550,4700*1790*1550,4700*1790*1550,4675*1790*1550,4675*1790*1550,4700*1790*1550,4700*1790*1550
钥匙类型,,,,,,,
远光灯光源,,,,,,,
近光灯光源,,,,,,,
轴距(mm),2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,风行S50EV 2023款 PRO网约版,风行S50EV 2023款 PRO运营版,风行S50EV 2023款 PRO万顺款,风行S50EV 2024款 网约版,风行S50EV 2024款 运营型,风行S50EV 2023款 PRO换电版,风行S50EV 2023款 PLUS运营型
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,-,●,●,-,●,●,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●
自动头灯,-,-,-,-,-,-,-
