Feature,68740,69577,70579,70580,70581,70582,70585
高精地图,●,●,●,●,●,●,●
高度(mm),1450,1450,1460,1460,1450,1450,1460
高压快充,-,支持,-,支持,支持,支持,支持
高压平台（V）,-,800,-,800,800,800,800
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,单电机,双电机,单电机,单电机,双电机,双电机,双电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●
零重力座椅,,,,,,,
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●
长度(mm),5020,5020,5020,5020,5020,5020,5020
长*宽*高(mm),5020*1999*1450,5020*1999*1450,5020*1999*1460,5020*1999*1460,5020*1999*1450,5020*1999*1450,5020*1999*1460
钥匙类型,,,,,,,
配气机构,DOHC,-,DOHC,-,-,-,-
遥控泊车,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,-,涡轮增压,-,-,-,-
近光灯光源,,,,,,,
辅助驾驶系统,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),3020,3020,3020,3020,3020,3020,3020
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车载KTV,●,●,●,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,阿维塔12 2025款 Ultra增程版,阿维塔12 2025款 皇家剧院版,阿维塔12 2025款 Max增程版,阿维塔12 2025款 Max纯电版,阿维塔12 2025款 Ultra纯电版四驱,阿维塔12 2025款 Master纯电版四驱,阿维塔12 2025款 Max纯电版四驱
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,●,●,-,-,●,●,-
车内生物监测系统,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,
车内摄像头数量,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
记忆泊车,○,○,○,○,○,○,○
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驾驶辅助路段,,,,,,,
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●
自动开合车门,○,●,○,○,○,●,○
自动头灯,●,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,增程式,纯电动,增程式,纯电动,纯电动,纯电动,纯电动
能源类型_x,增程式,纯电动,增程式,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,
缸盖材料,铝合金,-,铝合金,-,-,-,-
缸体材料,铝合金,-,铝合金,-,-,-,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
系统综合扭矩(N·m),367,-,367,-,-,-,-
系统综合功率(kW),231,-,231,-,-,-,-
系统综合功率(Ps),314,-,314,-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,
空调温度控制方式,,,,,,,
空气质量监测,●,●,●,●,●,●,●
空气悬架,●,●,-,-,●,●,-
离去角(°),20,18,20,20,20,18,20
百公里耗电量(kWh/100km),19.1,15.2,19.1,14.4,15.2,15.2,15.2
疲劳驾驶提示,●,●,●,●,●,●,●
电芯品牌,,,,,,,
电能当量燃料消耗量(L/100km),-,1.76,-,1.67,1.76,1.76,1.76
电池预加热,●,●,●,●,●,●,●
