Feature,64199,65488,65489,66162,66502,66526,66537,66538,71240,71241,71242,71243,71244,71245,71246,71247
高度(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175
长*宽*高(mm),5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520,5175*1900*1520
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,
轴距(mm),3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,3105
轮圈材质,,,,,,,,,,,,,,,,
转向头灯,○,●,●,○,○,○,○,○,○,○,○,○,○,○,●,●
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,
车机智能芯片,,,,,,,,,,,,,,,,
车型名称,宝马5系 2024款 525Li M运动套装,宝马5系 2024款 530Li 尊享型 M运动套装,宝马5系 2024款 530Li 尊享型 豪华套装,宝马5系 2024款 530Li xDrive 豪华套装,宝马5系 2024款 530Li 领先型 豪华套装,宝马5系 2024款 530Li 领先型 M运动套装,宝马5系 2024款 525Li 豪华套装,宝马5系 2024款 530Li xDrive M运动套装,宝马5系 2025款 525Li 豪华套装,宝马5系 2025款 525Li M运动套装,宝马5系 2025款 530Li 领先型 豪华套装,宝马5系 2025款 530Li 领先型 M运动套装,宝马5系 2025款 530Li xDrive 豪华套装,宝马5系 2025款 530Li xDrive M运动套装,宝马5系 2025款 530Li 尊享型 豪华套装,宝马5系 2025款 530Li 尊享型 M运动套装
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,
车内摄像头数量,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
