Feature,59560,59561,59562,59563,59564,59565,60433,61169,61221,64566,64567
高度(mm),1690,1690,1700,1700,1700,1700,1690,1690,1695,1695,1695
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,-,,,,,,-,-,-,,
驻车制动类型,,,,,,,,,,,
驱动电机数,-,-,-,-,-,-,单电机,单电机,单电机,-,-
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875
长*宽*高(mm),4875*1880*1690,4875*1880*1690,4875*1880*1700,4875*1880*1700,4875*1880*1700,4875*1880*1700,4875*1880*1690,4875*1880*1690,4875*1880*1695,4875*1880*1695,4875*1880*1695
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,-,-,-,-,●,-,-,-,-
远程启动功能,-,-,-,-,,,,,-,,-
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,-,-,,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,-,-,-,●,●
车顶行李架,-,-,-,●,-,●,●,●,-,-,-
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,●,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,●,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,●,-,-,-,-
车载空气净化器,-,-,-,●,-,●,-,-,-,-,-
车载智能系统,-,-,-,-,,,,,,,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,●,●,●,●,●,●,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,五菱凯捷 2022款 1.5T 手动精英型,五菱凯捷 2022款 1.5T CVT精英型,五菱凯捷 2022款 1.5T CVT尊贵型,五菱凯捷 2022款 1.5T CVT旗舰型,五菱凯捷 2022款 改款 280T 1.5T CVT尊贵型,五菱凯捷 2022款 改款 280T 1.5T CVT旗舰型,五菱凯捷 2023款 2.0L DHT奢享型,五菱凯捷 2023款 2.0L DHT臻享型,五菱凯捷 2023款 2.0L DHT悦享型,五菱凯捷 2023款 280T CVT卓越型,五菱凯捷 2023款 280T CVT超越型
车前雾灯,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,,,,,,,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,●,-,●,●,-,-,-,-
语音识别控制系统,,,,,,,-,-,-,,-
行车电脑显示屏幕,,,,,,,-,-,-,,
行李厢12V电源接口,●,●,●,●,●,●,-,-,-,●,●
蓝牙/车载电话,●,●,●,●,●,●,-,-,-,●,●
自适应远近光,-,-,-,-,-,-,●,-,-,-,-
自动驻车,●,●,●,●,●,●,-,-,-,●,●
