Feature,1019681,1019682,1019683,1019684,1019766,1019767,1019768,1019769,1019770,1019771
高度(mm),1865,1880,1865,1880,1830,1865,1880,1880,1865,1865
驾驶辅助影像,,,,,-,,-,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,单电机,双电机,单电机,双电机,单电机,单电机,双电机,双电机,单电机,单电机
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●
长度(mm),5260,5260,5500,5500,5500,5500,5500,5500,5260,5500
长*宽*高(mm),5260*1900*1865,5260*1900*1880,5500*1900*1865,5500*1900*1880,5500*1900*1830,5500*1900*1865,5500*1900*1880,5500*1900*1880,5260*1900*1865,5500*1900*1865
钥匙类型,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
轴距(mm),3120,3120,3310,3310,3310,3310,3310,3310,3120,3310
轮圈材质,,,,,,,,,,
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,-,●,-,●,●,●
车窗一键升降功能,,,,,-,,-,,,
车型名称,雷达金刚 2025款 430km 两驱标箱 招财金刚,雷达金刚 2025款 460km 四驱标箱 大力金刚,雷达金刚 2025款 430km 两驱长箱 招财金刚,雷达金刚 2025款 460km 四驱长箱 大力金刚,雷达金刚 2025款 310km 两驱长箱 招财金刚,雷达金刚 2025款 505km 两驱长箱 招财金刚,雷达金刚 2025款 330km 四驱长箱 大力金刚,雷达金刚 2025款 520km 四驱长箱 大力金刚,雷达金刚 2025款 605km 两驱标箱 招财金刚,雷达金刚 2025款 605km 两驱长箱 招财金刚
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
