Feature,1011372,1011373,1013488,1013489,1013490,1013491,1013492
高度(mm),1902,1902,1902,1902,1902,1902,1902
驾驶辅助影像,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4421,4421,4421,4421,4421,4421,4421
长*宽*高(mm),4421×1677×1902,4421×1677×1902,4421×1677×1902,4421×1677×1902,4421×1677×1902,4421×1677×1902,4421×1677×1902
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,启腾M70 2021款 1.5L M70L舒适型,启腾M70 2021款 1.5L M70L基本型,启腾M70 2022款 1.5L M70L厢货型 舒适版DAM15KR,启腾M70 2022款 1.5L M70L厢货型 标准版DAM15KR,启腾M70 2022款 1.5L M70L厢货型 基本版DAM15KR,启腾M70 2022款 1.5L M70L乘用型 舒适版DAM15KR,启腾M70 2022款 1.5L M70L乘用型 标准版DAM15KR
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,●,-,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
行程(mm),-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-
缸体材料,未知,未知,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,-,,-,-,,
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),100,100,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-
最大马力(Ps),122,122,116,116,116,116,116
最大载重质量(kg),-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW)_y,90,90,85,85,85,85,85
最大功率(kW)_x,90,90,85,85,85,85,85
无钥匙进入功能,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
