Feature,55456,57975,57976,60503,62191,63301,63302,63306,63307,63308,63309
高度(mm),1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
驾驶辅助影像,,,,,-,-,-,-,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162
长*宽*高(mm),3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585,3162*1498*1585
钥匙类型,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
轴距(mm),2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,-,-,-,-,-,-
车身结构_x,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,-,-,-,-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,元宝 2022款 智萌版,元宝 2022款 乐萌版,元宝 2022款 宝萌版,元宝 2022款 悦萌版,元宝 2023款 心动版,元宝 2023款 舒适版,元宝 2023款 轻松版,元宝 2023款 超越版,元宝 2023款 精英版,元宝 2023款 领先版,元宝 2023款 尊贵版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,-,-,-,-,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
