Feature,62115,62116,62117,62118,62119,63781,63782,63783,63784
高度(mm),1461,1461,1461,1461,1461,1461,1461,1461,1461
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4882,4882,4882,4882,4882,4882,4882,4882,4882
长*宽*高(mm),4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461,4882*1820*1461
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,●,-,●,●,●,-,●,●,●
运动外观套件,●,-,●,●,●,-,●,●,●
辅助驾驶等级,,,,,,,,,
轴距(mm),2954,2954,2954,2954,2954,2954,2954,2954,2954
轮圈材质,,,,,,,,,
转向头灯,-,○,○,○,○,○,○,○,○
车门数(个),4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,奔驰C级 2023款 改款 C 200 L 运动版,奔驰C级 2023款 改款 C 260 L,奔驰C级 2023款 改款 C 260 L 运动版,奔驰C级 2023款 改款 C 260 L 运动版 4MATIC,奔驰C级 2023款 改款 C 260 L 皓夜运动版,奔驰C级 2023款 改款二 C 260 L,奔驰C级 2023款 改款二 C 260 L 运动版,奔驰C级 2023款 改款二 C 260 L 运动版 4MATIC,奔驰C级 2023款 改款二 C 260 L 皓夜运动版
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,○,○,○,○,○,○,○,○
车内环境氛围灯,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,○,○,○,○,○,○,○,○
语音识别控制系统,,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,,,
空调温度控制方式,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18
疲劳驾驶提示,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,-,,,,,,,,
电动后备厢,-,○,○,○,○,○,○,○,○
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
