Feature,66662,67535,67536,67537
高精地图,●,●,●,●
高度(mm),1602,1625,1620,1602
高压快充,支持,-,支持,支持
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,双电机,单电机,单电机,双电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
隐藏电动门把手,●,●,●,●
陡坡缓降,●,●,●,●
防侧翻系统,●,●,●,●
长度(mm),4860,4860,4860,4860
长*宽*高(mm),4860*1935*1602,4860*1935*1625,4860*1935*1620,4860*1935*1602
钥匙类型,,,,
遥控泊车,●,●,●,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
近光灯光源,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),2940,2940,2940,2940
轮圈材质,,,,
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载智能系统,,,,
车载KTV,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,腾势N7 2024款 630 四驱智驾Ultra版,腾势N7 2024款 550 智驾Pro版,腾势N7 2024款 702 智驾Pro版,腾势N7 2024款 630 四驱智驾Max版
车前雾灯,-,-,-,-
车内香氛装置,●,-,-,●
车内环境氛围灯,,,,
车内摄像头数量,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,●,●,●,●
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驾驶辅助路段,,,,
自动驻车,●,●,●,●
