Feature,50422,56168,58167,58479,58680,58681,59768,63855,64285,64954,65278,67066,67135,67268,67269,67290,67291,68967
高度(mm),1871,1871,1871,1871,1871,1871,1871,1935,1929,1895,1895,1929,1871,1871,1865,1915,1915,1915
驾驶辅助影像,-,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,
首任车主质保政策,-,-,-,-,-,-,-,-,,,,,-,-,-,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,,-,,,,,,,,-,,,,,,,
防侧翻系统,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
长度(mm),4630,4645,4630,4630,4645,4630,4630,4793,4790,4790,4790,4790,4630,4630,4350,4790,4790,4790
长*宽*高(mm),4630*1925*1871,4645*1925*1871,4630*1925*1871,4630*1925*1871,4645*1925*1871,4630*1925*1871,4630*1925*1871,4793*2030*1935,4790*1940*1929,4790*1940*1895,4790*1940*1895,4790*1940*1929,4630*1925*1871,4630*1925*1871,4350*1925*1865,4790*1940*1915,4790*1940*1915,4790*1940*1915
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,○,○
道路救援呼叫,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,●,●,-,●,-,-,-,-,●,●
透明底盘/540度影像,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●
远程启动功能,-,-,-,-,-,-,,,,,,,-,-,-,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,-,-,-,-,,,-,,-,-,-,-,,
