Feature,56232,56773,56774,60039,60040,61268,63794
高度(mm),1495,1495,1495,1495,1495,1495,1495
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4735,4735,4735,4735,4735,4735,4735
长*宽*高(mm),4735*1815*1495,4735*1815*1495,4735*1815*1495,4735*1815*1495,4735*1815*1495,4735*1815*1495,4735*1815*1495
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,-,-,●,-
透明底盘/540度影像,●,-,-,-,-,●,-
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶等级,,-,-,-,-,,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,
车门数(个),4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,●,-
车道偏离预警系统,●,-,-,-,-,●,-
车道保持辅助系统,●,-,-,-,-,●,-
车载空气净化器,●,-,●,-,-,●,-
车载智能系统,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),-,-,-,-,-,,
车机系统内存(GB),-,-,-,-,-,,
车型名称,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM Super 睿,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM Super 净,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM Super 迅,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM 出行版,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM 行政版,帝豪L HiP 2024款 冠军版 1.5TD-DHT Pro 100KM 卓越型,帝豪L HiP 2024款 冠军版 1.5TD-DHT Pro 100KM 超越型
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,-,-,,
负离子发生器,●,-,●,-,-,●,-
语音识别控制系统,,,,,,,
语音分区域唤醒识别,-,-,-,-,-,,
语音免唤醒词,-,-,-,-,-,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,●,-
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合扭矩(N·m),610,610,610,610,610,610,610
系统综合功率(kW),233,233,233,233,233,233,233
简称,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT
第二排座椅调节,-,-,-,-,-,-,-
空载最小离地间隙(mm),148,148,148,148,148,148,148
空调温度控制方式,,,,,,,
离去角(°),21,21,21,21,21,21,21
百公里耗电量(kWh/100km),-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-
电芯品牌,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动
电池预加热,●,●,●,●,●,●,●
电池能量(kWh),15.5,15.5,15.5,15.5,15.5,15.5,15.5
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,八年或15万公里,八年或15万公里,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),320,320,320,320,320,320,320
电动机总功率(kW),100,100,100,100,100,100,100
电动机总功率(Ps),136,136,136,136,136,136,136
电动机(Ps),136,136,136,136,136,136,136
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,
油箱容积(L),52,52,52,52,52,52,52
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),230,230,230,230,230,230,230
最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5
最大马力(Ps),181,181,181,181,181,181,181
最大满载质量(kg),1997,1997,1997,1997,1997,1997,1997
最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500
最大扭矩(N·m)_y,290,290,290,290,290,290,290
最大扭矩(N·m)_x,610,610,610,610,610,610,610
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,133,133,133,133,133,133,133
最大功率(kW)_x,233,233,233,233,233,233,233
最大净功率(kW),-,-,-,-,-,-,-
最低荷电状态油耗(L/100km),3.8,3.8,3.8,3.8,3.8,3.8,3.8
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,六年或15万公里,六年或15万公里,六年或15万公里,-,四年或10万公里,六年或15万公里,六年或15万公里
整备质量(kg),1582,1582,1582,1582,1582,1582,1582
摄像头数量,,,,-,-,,
接近角(°),16,16,16,16,16,16,16
排量(mL),1499,1499,1499,1499,1499,1499,1499
换电,不支持,不支持,不支持,-,-,不支持,不支持
换挡形式,,,,,,,
挡位个数,3,3,3,3,3,3,3
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
慢充时间(小时)_y,2.5,2.5,2.5,2.5,2.5,2.5,2.5
慢充时间(小时)_x,2.5,2.5,2.5,2.5,2.5,2.5,2.5
感应雨刷功能,-,-,-,-,-,-,-
感应后备厢,●,-,●,-,-,●,-
快充电量百分比,-,-,-,-,-,30-80,-
快充电量(%),-,-,-,-,-,30-80,-
快充时间(小时)_y,-,-,-,-,-,0.67,-
快充时间(小时)_x,-,-,-,-,-,0.67,-
快充功能,不支持,不支持,不支持,不支持,不支持,支持,不支持
座椅材质,,,,,,,
座位数(个),5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),1815,1815,1815,1815,1815,1815,1815
官方0-100km/h加速(s),6.9,6.9,6.9,6.9,6.9,6.9,6.9
安全带未系提醒,,,,,,,
天窗类型,,,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,
多功能方向盘,●,●,●,●,●,●,●
外后视镜功能,,,,,,,
备胎规格,无,无,无,无,无,无,无
地图品牌,,,,,,,
四驱形式,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-
后轮距(mm),1555,1555,1555,1555,1555,1555,1555
后轮胎规格,205/50 R17,205/55 R16,205/50 R17,205/55 R16,205/55 R16,205/50 R17,205/55 R16
后排独立空调,-,-,-,-,-,-,-
后排杯架,●,-,●,-,-,●,-
后排座椅放倒形式,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT
发动机电子防盗,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机型号,BHE15,BHE15,BHE15,BHE15,BHE15,BHE15,BHE15
发动机,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4
厂商指导价(元),14.58万,12.98万,13.58万,16.88万,16.88万,12.28万,10.98万
厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
卫星导航系统,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,
前轮距(mm),1551,1551,1551,1551,1551,1551,1551
前轮胎规格,205/50 R17,205/55 R16,205/50 R17,205/55 R16,205/55 R16,205/50 R17,205/55 R16
前电动机最大扭矩(N·m),320,320,320,320,320,320,320
前电动机最大功率(kW),100,100,100,100,100,100,100
前方碰撞预警,●,-,-,-,-,●,-
前排座椅功能,,-,-,-,-,,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
